"","State","Year","Private","Proprietary","Public"
"118","MA",1314,67.1871,3.1846,29.6283
"119","MA",1415,67.6889,2.748,29.5632
"120","MA",1516,65.8585,1.8294,32.3121
"121","MD",1011,19.6236,9.4369,70.9394
"122","MD",1112,19.9249,8.3903,71.6848
"123","MD",1213,20.2223,7.0784,72.6993
"124","MD",1314,20.7283,6.5419,72.7298
"125","MD",1415,20.7334,5.9827,73.2839
"126","MD",1516,19.8793,3.8945,76.2262
"127","ME",1011,35.8591,5.5252,58.6158
"128","ME",1112,37.1081,5.5429,57.349
"129","ME",1213,37.5482,5.2961,57.1557
"130","ME",1314,40.0122,6.5135,53.4743
"131","ME",1415,42.6805,5.6736,51.6459
"132","ME",1516,42.8302,3.7721,53.3977
"133","MI",1011,25.0968,5.1159,69.7872
"134","MI",1112,25.321,4.8331,69.8459
"135","MI",1213,25.4224,5.0018,69.5758
"136","MI",1314,25.1065,4.2888,70.6048
"137","MI",1415,23.7434,4.2526,72.0041
"138","MI",1516,20.6749,2.968,76.3571
"139","MN",1011,15.4968,46.9307,37.5725
"140","MN",1112,15.8106,45.0089,39.1806
"141","MN",1213,15.9459,45.0117,39.0423
"142","MN",1314,16.0655,45.5612,38.3733
"143","MN",1415,16.3858,46.5753,37.0389
"144","MN",1516,17.8187,37.9197,44.2616
"145","MO",1011,45.6385,11.2964,43.0651
"146","MO",1112,45.8659,9.1729,44.9612
"147","MO",1213,46.6342,8.4757,44.8901
"148","MO",1314,47.1101,7.6757,45.2142
"149","MO",1415,47.4109,6.8335,45.7556
"150","MO",1516,47.7793,4.9059,47.3148
"151","MS",1011,14.3191,1.0655,84.6154
"152","MS",1112,14.4065,0.944,84.6495
"153","MS",1213,16.2698,1.009,82.7211
"154","MS",1314,17.3361,0.8375,81.8265
"155","MS",1415,17.4947,0.8026,81.7027
"156","MS",1516,16.5352,0.5199,82.9449
"157","MT",1011,8.8174,1.3023,89.8803
"158","MT",1112,8.9886,1.3646,89.6468
"159","MT",1213,9.4299,1.4258,89.1443
"160","MT",1314,9.7692,1.527,88.7037
"161","MT",1415,10.1494,1.6385,88.2122
"162","MT",1516,10.0304,1.1269,88.8426
