State,School.Type,Year,Sum.Type.loan,Sum.Type.grant,Sum.Type.campus,Total.Disbursement
AZ,Private,1314,40337240,2641550.13,1353576,44332366.13
AZ,Proprietary,1314,3425850594,1070139996,20249572,4516240162
AZ,Public,1314,1055652382,457938613.7,26249784,1539840780
CA,Private,1314,3705638312,261073214.4,115638567,4082350093
CA,Proprietary,1314,2562643784,871342056.7,36366580,3470352421
CA,Public,1314,2943190930,2902660253,180950829,6026802012
CO,Private,1314,296368202,28990432.32,8553543,333912177.3
CO,Proprietary,1314,546501280,140289467.6,8055989,694846736.6
CO,Public,1314,1074520202,304324288.5,29254325,1408098816
CT,Private,1314,499707529,49174760.65,25180307,574062596.7
CT,Proprietary,1314,205430852,81203623.63,2598406,289232881.6
CT,Public,1314,359248868,145912294.8,12136177,517297339.8
DC,Private,1314,921132999,41375696.11,30368750,992877445.1
DC,Proprietary,1314,520813187,81325936.1,2540410,604679533.1
DC,Public,1314,29999238,9968667.09,846056,40813961.09
DE,Private,1314,99271127,17814522,1165183,118250832
DE,Proprietary,1314,8564963,5126744.68,49397,13741104.68
DE,Public,1314,146619366,40902115.05,4939570,192461051.1
FL,Private,1314,2338249113,490486487,38251260,2866986860
FL,Proprietary,1314,800774526,283983343.3,15304919,1100062788
FL,Public,1314,2243612619,1355667529,54750777,3654030925
GA,Private,1314,797214238,94458822.52,23008728,914681788.5
GA,Proprietary,1314,448197834,138290174.7,8963511,595451519.7
GA,Public,1314,1679579591,749001999.7,30229572,2458811163
HI,Private,1314,49504465,12331592.84,1400341,63236398.84
HI,Proprietary,1314,4813222,3073595.28,39207,7926024.28
HI,Public,1314,151612212,67280082.96,6024046,224916341
IA,Private,1314,485831534,65434728.41,29515837,580782099.4
IA,Proprietary,1314,704774154,163435216.3,6968090,875177460.3
IA,Public,1314,639228920,185738726.6,18481935,843449581.6
ID,Private,1314,67261663,57460154.14,1340968,126062785.1
ID,Proprietary,1314,20789962,10180305.3,71025,31041292.3
ID,Public,1314,277456051,115199692.8,8572008,401227751.8
IL,Private,1314,2266541448,210755259.6,86754380,2564051088
IL,Proprietary,1314,1358807941,318709583.5,33520780,1711038304
IL,Public,1314,1387255666,660201838.2,48039315,2095496819
IN,Private,1314,621928945,97223529.55,34041402,753193876.6
IN,Proprietary,1314,744425673,310073234.5,12020670,1066519578
IN,Public,1314,1204242181,430206234.9,38411353,1672859769
KS,Private,1314,210464868,45478064.4,10089172,266032104.4
KS,Proprietary,1314,111187070,44447282.38,264280,155898632.4
KS,Public,1314,631213043,202788965.3,20361117,854363125.3
KY,Private,1314,252336591,52684318.13,24492353,329513262.1
KY,Proprietary,1314,140467591,45655668.75,1521263,187644522.8
KY,Public,1314,902776904,326505850,26961603,1256244357
LA,Private,1314,265619894,27664660.08,14257725,307542279.1
LA,Proprietary,1314,93564925,53444622.38,902566,147912113.4
LA,Public,1314,773214414,329841569.3,22071091,1125127074
MA,Private,1314,2027012837,163524693,130475862,2321013392
MA,Proprietary,1314,76236159,32677218.26,1101448,110014825.3
MA,Public,1314,683282090,309211832.2,31032332,1023526254
MD,Private,1314,346388456,31483032.29,18343788,396215276.3
MD,Proprietary,1314,80276894,43434017.95,1334526,125045438
MD,Public,1314,1031063179,331101526.6,28042415,1390207121
ME,Private,1314,197353539,17131244.6,10871948,225356731.6
ME,Proprietary,1314,23463005,13096837.42,125303,36685145.42
ME,Public,1314,204143288,79106989.35,17927635,301177912.4
MI,Private,1314,885823413,181333909.5,29219813,1096377135
MI,Proprietary,1314,120625899,65199249.37,1460624,187285772.4
MI,Public,1314,2289968326,715821808.2,77455042,3083245176
MN,Private,1314,518942086,61098445.77,33756378,613796909.8
MN,Proprietary,1314,1593225065,140837824.7,6646885,1740709775
MN,Public,1314,1104306991,328374742.2,33409384,1466091117
MO,Private,1314,1128351018,154109662,40189249,1322649929
MO,Proprietary,1314,146223422,67354265.5,1922505,215500192.5
MO,Public,1314,891003637,353282538,25136414,1269422589
MS,Private,1314,166751084,26358622.89,4107480,197217186.9
MS,Proprietary,1314,3803575,5677795.16,46040,9527410.16
MS,Public,1314,577339410,327904533.4,25624292,930868235.4
MT,Private,1314,24078398,6035833.58,1618720,31732951.58
MT,Proprietary,1314,2905018,2055233,0,4960251
MT,Public,1314,209806950,69153009.6,9172860,288132819.6
NC,Private,1314,746414672,117017835.8,34147164,897579671.8
NC,Proprietary,1314,116789473,20131062.2,1026684,137947219.2
NC,Public,1314,1450135075,778531327.9,44202284,2272868687
ND,Private,1314,26921010,7180320.16,1945045,36046375.16
ND,Proprietary,1314,2868622,1280411.78,0,4149033.78
ND,Public,1314,174380119,37450978.7,10053115,221884212.7
NE,Private,1314,306519355,29136036.64,9494505,345149896.6
NE,Proprietary,1314,12022683,6957059.08,209542,19189284.08
NE,Public,1314,326288087,107735871,12185581,446209539
NH,Private,1314,475001718,45624814.3,13205918,533832450.3
NH,Proprietary,1314,22116097,8599179.69,871810,31587086.69
NH,Public,1314,250866517,46113736.65,12274246,309254499.7
NJ,Private,1314,392396091,77383032.6,20379092,490158215.6
NJ,Proprietary,1314,193531353,96465229.19,2763499,292760081.2
NJ,Public,1314,1117725136,486595912.9,31421441,1635742490
NM,Private,1314,17108640,1477446.87,427024,19013110.87
NM,Proprietary,1314,22199362,7796351.74,803892,30799605.74
NM,Public,1314,285183921,203709794,18362249,507255964
NV,Private,1314,91297089,5130549.64,534982,96962620.64
NV,Proprietary,1314,27667691,14360973.1,373836,42402500.1
NV,Public,1314,276198989,121083985.5,6285304,403568278.5
NY,Private,1314,4386064983,475657289.4,207232609,5068954881
NY,Proprietary,1314,574409309,292251081.7,14476481,881136871.7
NY,Public,1314,1855576301,1226639546,76105311,3158321158
OH,Private,1314,1096831594,160007267.4,53730986,1310569847
OH,Proprietary,1314,194023197,88273456.85,3080854,285377507.9
OH,Public,1314,2498601986,721341461.5,64558760,3284502208
OK,Private,1314,179636143,32602477.09,13010542,225249162.1
OK,Proprietary,1314,72800745,35379026.28,948783,109128554.3
OK,Public,1314,634219535,266805411.9,18555951,919580897.9
OR,Private,1314,475218164,39731955.54,17437288,532387407.5
OR,Proprietary,1314,82826570,32970174.16,1342733,117139477.2
OR,Public,1314,903315235,330308112.1,31092264,1264715611
PA,Private,1314,2960364163,282717606,108629333,3351711102
PA,Proprietary,1314,465863239,194002642.7,9866054,669731935.7
PA,Public,1314,1936382197,495617376.6,68893357,2500892931
RI,Private,1314,315123342,48069137.68,30265642,393458121.7
RI,Proprietary,1314,7889479,3248807.41,205759,11344045.41
RI,Public,1314,148859697,56996294,6419696,212275687
SC,Private,1314,250538042,66018748.45,11444350,328001140.5
SC,Proprietary,1314,42164601,13368471.92,477923,56010995.92
SC,Public,1314,963562287,346261706.4,21868458,1331692451
SD,Private,1314,44428020,7567593.76,3246015,55241628.76
SD,Proprietary,1314,102558008,37595835.58,1430884,141584727.6
SD,Public,1314,209959865,52128109.85,10764404,272852378.9
TN,Private,1314,739279730,106012615.6,28000300,873292645.6
TN,Proprietary,1314,182412258,79401689.7,1608890,263422837.7
TN,Public,1314,896867021,402108751.8,24480859,1323456632
TX,Private,1314,1045029664,186035590.5,40520173,1271585428
TX,Proprietary,1314,434690461,223874159.5,7007640,665572260.5
TX,Public,1314,3797054059,1851437850,87580624,5736072533
UT,Private,1314,287466084,119790773.1,1218420,408475277.1
UT,Proprietary,1314,169543820,65463495.53,1284807,236292122.5
UT,Public,1314,383493678,223989037.8,19905228,627387943.8
VA,Private,1314,1266014074,172781615.7,24951050,1463746740
VA,Proprietary,1314,233935867,107999556.8,3568715,345504138.8
VA,Public,1314,1373460232,439938791.4,33374515,1846773538
VT,Private,1314,162713566,13640069.05,11963952,188317587.1
VT,Proprietary,1314,4495946,1104761.3,75210,5675917.3
VT,Public,1314,141547353,29000851.3,9463310,180011514.3
WA,Private,1314,448750052,56763490.07,24378877,529892419.1
WA,Proprietary,1314,90754936,35034104.82,1292954,127081994.8
WA,Public,1314,891432857,399872706.6,38866125,1330171689
WI,Private,1314,472860998,58067647.68,23944413,554873058.7
WI,Proprietary,1314,99914161,35510308.57,2092953,137517422.6
WI,Public,1314,1004427405,333685398.6,60381286,1398494090
WV,Private,1314,73398666,12510055.31,4486580,90395301.31
WV,Proprietary,1314,248167685,87012218.26,1552736,336732639.3
WV,Public,1314,471692659,134432961.1,15027396,621153016.1
WY,Private,1314,25871517,7637555,0,33509072
WY,Proprietary,1314,603086,546653.97,1975392,3125131.97
WY,Public,1314,60826255,28574983.62,3621758,93022996.62
AK,Private,1415,3395531,747889.32,112334,4255754.32
AK,Proprietary,1415,2665432,1615459,0,4280891
AK,Public,1415,61967120,24371923.7,1551858,87890901.7
AL,Private,1415,250786808,50704219.22,10256043,311747070.2
AL,Proprietary,1415,272066784,116544214.5,3039909,391650907.5
AL,Public,1415,1077112798,373703544,26734581,1477550923
AR,Private,1415,111081190,27194920.29,5055833,143331943.3
AR,Proprietary,1415,14347330,10035693.14,8060,24391083.14
AR,Public,1415,539713611,255997182.6,15919552,811630345.6
AZ,Private,1415,32906614,2730721.99,909822,36547157.99
AZ,Proprietary,1415,2935723120,928403829.5,23514863,3887641812
AZ,Public,1415,1079356297,453687595.4,26634235,1559678127
CA,Private,1415,3598980148,261097766.9,118448049,3978525964
CA,Proprietary,1415,2166521884,779438795.4,33671557,2979632236
CA,Public,1415,2837870830,3004900798,189170858,6031942486
CO,Private,1415,286896637,26442418.81,11001873,324340928.8
CO,Proprietary,1415,498474250,137668623.2,5933603,642076476.2
CO,Public,1415,1057549404,290473612.8,29395781,1377418798
CT,Private,1415,517523986,51375209.2,27062817,595962012.2
CT,Proprietary,1415,190311056,78404059.65,2918827,271633942.7
CT,Public,1415,370729667,148927692.9,10916744,530574103.9
DC,Private,1415,921489937,41915922.9,31346624,994752483.9
DC,Proprietary,1415,510644725,84563025.43,2515939,597723689.4
DC,Public,1415,27174257,9448189.76,717350,37339796.76
DE,Private,1415,100512590,17987943.4,1636001,120136534.4
DE,Proprietary,1415,7508213,4753133.9,61092,12322438.9
DE,Public,1415,150067459,41872427.03,4748390,196688276
FL,Private,1415,2151872594,434123208.6,43253376,2629249179
FL,Proprietary,1415,718855709,265647115.6,10648697,995151521.6
FL,Public,1415,2149211155,1329538902,62509008,3541259065
GA,Private,1415,810410891,91226188.41,23443563,925080642.4
GA,Proprietary,1415,431407459,121147783.6,7904931,560460173.6
GA,Public,1415,1677572106,731028734.4,30304234,2438905074
HI,Private,1415,45105456,11834165.56,1328584,58268205.56
HI,Proprietary,1415,5094805,2742725.94,59272,7896802.94
HI,Public,1415,157463740,66223573.02,6152044,229839357
IA,Private,1415,500655197,63831947.29,30731138,595218282.3
IA,Proprietary,1415,643422866,156082050.7,6932142,806437058.7
IA,Public,1415,610750679,179394938,18802677,808948294
ID,Private,1415,71643264,63676047.45,1345328,136664639.5
ID,Proprietary,1415,19908465,9718495.86,166727,29793687.86
ID,Public,1415,257096961,104720133.3,9183447,371000541.3
IL,Private,1415,2235250328,206547503.8,86063993,2527861825
IL,Proprietary,1415,1199725263,293685932.8,32378659,1525789855
IL,Public,1415,1335631441,634490075.5,48950952,2019072469
IN,Private,1415,640260486,100963876.7,32741857,773966219.7
IN,Proprietary,1415,648621407,285692689.8,14178281,948492377.8
IN,Public,1415,1137098961,400260561.7,37744305,1575103828
KS,Private,1415,207147568,42353172.53,9790008,259290748.5
KS,Proprietary,1415,96692021,42802622.24,286771,139781414.2
KS,Public,1415,629729988,198097125.9,23273591,851100704.9
KY,Private,1415,257757602,53501069.34,16846835,328105506.3
KY,Proprietary,1415,125735859,40203495.19,1547651,167487005.2
KY,Public,1415,861509210,317327142.1,24844533,1203680885
LA,Private,1415,248954864,27004256.17,14531903,290491023.2
LA,Proprietary,1415,94380459,55473054.04,923082,150776595
LA,Public,1415,790859159,330375858.7,20884380,1142119398
MA,Private,1415,2035466992,163627950.2,130432554,2329527496
MA,Proprietary,1415,65345468,28037623.25,1188969,94572060.25
MA,Public,1415,679247587,309276036.2,28898952,1017422575
MD,Private,1415,350839470,28627354.46,16382117,395848941.5
MD,Proprietary,1415,74070210,38861290.11,1293129,114224629.1
MD,Public,1415,1033268850,335832085.4,30059755,1399160690
ME,Private,1415,204625559,16553267.6,10902635,232081461.6
ME,Proprietary,1415,19544971,11198337.31,107690,30850998.31
ME,Public,1415,186857737,76589486.62,17385369,280832592.6
MI,Private,1415,777378251,162787596.9,28303968,968469815.9
MI,Proprietary,1415,110655780,61914485.23,887677,173457942.2
MI,Public,1415,2180767736,672006748.6,84207295,2936981780
MN,Private,1415,508846169,58921313.83,33486990,601254472.8
MN,Proprietary,1415,1571359408,130179721.9,7475380,1709014510
MN,Public,1415,1015002897,310134593.8,33952443,1359089934
MO,Private,1415,1070551263,148612272.4,36900399,1256063934
MO,Proprietary,1415,119720615,59635217.14,1685489,181041321.1
MO,Public,1415,851099706,336907089.3,24204979,1212211774
MS,Private,1415,166231751,27097166.33,4020719,197349636.3
MS,Proprietary,1415,4018315,4985285.93,50526,9054126.93
MS,Public,1415,572130900,320471752.7,29046804,921649456.7
MT,Private,1415,23571713,5799086.54,1514700,30885499.54
MT,Proprietary,1415,3023836,1962113,0,4985949
MT,Public,1415,193959540,63741409.76,10736286,268437235.8
NC,Private,1415,777503173,117934435.7,31591288,927028896.7
NC,Proprietary,1415,111567933,20724670.83,847022,133139625.8
NC,Public,1415,1432289059,752448228.3,44835163,2229572450
ND,Private,1415,26006882,6607412.19,1907930,34522224.19
ND,Proprietary,1415,2720111,1223391.27,0,3943502.27
ND,Public,1415,167065453,35869270.63,10506640,213441363.6
NE,Private,1415,335256716,28825114.29,9285284,373367114.3
NE,Proprietary,1415,9469954,4065252.51,133274,13668480.51
NE,Public,1415,316675218,107326313.7,12600352,436601883.7
NH,Private,1415,318412385,70072421.09,12532289,401017095.1
NH,Proprietary,1415,18168943,6359004.54,569573,25097520.54
NH,Public,1415,240514620,45592192.99,12142511,298249324
NJ,Private,1415,393152545,79400421.87,20913428,493466394.9
NJ,Proprietary,1415,175513036,89373893.27,3042198,267929127.3
NJ,Public,1415,1121826285,491962230.1,34861040,1648649555
NM,Private,1415,16367097,1448751,455777,18271625
NM,Proprietary,1415,21506526,8313661.08,657655,30477842.08
NM,Public,1415,255592483,186937135.7,16554652,459084270.7
NV,Private,1415,96059929,4617687.08,476038,101153654.1
NV,Proprietary,1415,25807299,14625113,338956,40771368
NV,Public,1415,286576096,129007255.3,6418298,422001649.3
NY,Private,1415,4289673342,478728124.2,212095298,4980496764
NY,Proprietary,1415,534018267,274160840.8,13276459,821455566.8
NY,Public,1415,1822054213,1256198850,76149525,3154402588
OH,Private,1415,1082893261,150822858.5,54557727,1288273846
OH,Proprietary,1415,166864934,79296380.51,3145248,249306562.5
OH,Public,1415,2283874460,658346645.9,66258936,3008480042
OK,Private,1415,174597770,32199689.81,11256195,218053654.8
OK,Proprietary,1415,77942574,37647146.04,841038,116430758
OK,Public,1415,620705575,255394944.3,19232322,895332841.3
OR,Private,1415,472783923,35938892.76,16808853,525531668.8
OR,Proprietary,1415,77253004,31741606.22,860755,109855365.2
OR,Public,1415,835700784,301728858.8,31203069,1168632712
PA,Private,1415,2950700866,285639908.8,114022039,3350362814
PA,Proprietary,1415,398979035,172450185.1,8931024,580360244.1
PA,Public,1415,1916767673,495378058.9,67961269,2480107001
RI,Private,1415,322612178,49598191.72,29934430,402144799.7
RI,Proprietary,1415,8258158,4027049.05,0,12285207.05
RI,Public,1415,152534351,57202653.96,6238380,215975385
SC,Private,1415,253685124,66991686.26,11825304,332502114.3
SC,Proprietary,1415,39270439,13161719.49,486662,52918820.49
SC,Public,1415,931999328,329315192.6,22087135,1283401656
SD,Private,1415,32821061,6849808.45,3195362,42866231.45
SD,Proprietary,1415,82818177,32798325.7,1196171,116812673.7
SD,Public,1415,201234412,49584565.42,9875533,260694510.4
TN,Private,1415,746175002,105349179.2,28636048,880160229.2
TN,Proprietary,1415,165883251,72084052.6,1521705,239489008.6
TN,Public,1415,858480041,389794460,24456101,1272730602
TX,Private,1415,1018673658,180107110.2,40036887,1238817655
TX,Proprietary,1415,418227036,222743629.7,5802772,646773437.7
TX,Public,1415,3677028351,1853281042,91894571,5622203964
UT,Private,1415,328865929,136737805,3158439,468762173
UT,Proprietary,1415,156757594,61262750.09,1278655,219298999.1
UT,Public,1415,374992674,217828158.8,19201638,612022470.8
VA,Private,1415,1251739375,175336641,26130994,1453207010
VA,Proprietary,1415,229318894,108060795.7,3817418,341197107.7
VA,Public,1415,1377522888,438546493.8,34928563,1850997945
VT,Private,1415,162240011,14100584.12,12465081,188805676.1
VT,Proprietary,1415,3944400,1125599.86,69252,5139251.86
VT,Public,1415,133879576,26786124.54,9224508,169890208.5
WA,Private,1415,425933431,49359889.8,23423407,498716727.8
WA,Proprietary,1415,82317602,33206990.41,1753779,117278371.4
WA,Public,1415,868361277,390817418.2,36616837,1295795532
WI,Private,1415,460241166,55584394.96,24493446,540319007
WI,Proprietary,1415,100890054,35269561.53,249640,136409255.5
WI,Public,1415,963998037,319969041,56744738,1340711816
WV,Private,1415,70975606,12827877.71,4636197,88439680.71
WV,Proprietary,1415,222983048,80028439.44,1178683,304190170.4
WV,Public,1415,466714298,127328726.5,15194912,609237936.5
WY,Private,1415,17267313,4448907,1841260,23557480
WY,Proprietary,1415,474827,476052,0,950879
WY,Public,1415,58763945,26462030.81,2880922,88106897.81
AK,Private,1516,3004351,749581,0,3753932
AK,Proprietary,1516,1121656,1161619,0,2283275
AK,Public,1516,53959404,20942253.47,0,74901657.47
AL,Private,1516,247070868,46504180.66,0,293575048.7
AL,Proprietary,1516,139192950,85688760.12,0,224881710.1
AL,Public,1516,973987624,332289417.6,0,1306277042
AR,Private,1516,99649997,24981086.54,0,124631083.5
AR,Proprietary,1516,7868455,7316344.6,0,15184799.6
AR,Public,1516,484319714,229288761.7,0,713608475.7
AZ,Private,1516,22615793,2553410.75,0,25169203.75
AZ,Proprietary,1516,1288422583,566464302.4,0,1854886885
AZ,Public,1516,1069042329,417084581.7,0,1486126911
CA,Private,1516,2863396401,231488344.7,0,3094884746
CA,Proprietary,1516,1084282716,508267014.6,0,1592549731
CA,Public,1516,2596287905,2620015795,0,5216303700
CO,Private,1516,213347795,21161053.95,0,234508849
CO,Proprietary,1516,269135246,98581793.27,0,367717039.3
CO,Public,1516,939618197,253126876.9,0,1192745074
CT,Private,1516,464199543,48226792.96,0,512426336
CT,Proprietary,1516,93456277,54618020.2,0,148074297.2
CT,Public,1516,364611654,139595827,0,504207481
DC,Private,1516,846324655,38573074.28,0,884897729.3
DC,Proprietary,1516,273749651,66848701.1,0,340598352.1
DC,Public,1516,22486463,7543860,0,30030323
DE,Private,1516,77318552,16266700,0,93585252
DE,Proprietary,1516,3623605,2787252.34,0,6410857.34
DE,Public,1516,146831740,38841063.77,0,185672803.8
FL,Private,1516,1529096690,342384466.1,0,1871481156
FL,Proprietary,1516,389512902,195937298.7,0,585450200.7
FL,Public,1516,1768389042,1113341906,0,2881730948
GA,Private,1516,688871314,81590876.98,0,770462191
GA,Proprietary,1516,219882255,80656130.02,0,300538385
GA,Public,1516,1474786926,640146213.2,0,2114933139
HI,Private,1516,41206244,11270392.11,0,52476636.11
HI,Proprietary,1516,2647816,2258606.52,0,4906422.52
HI,Public,1516,149722100,60716498.54,0,210438598.5
IA,Private,1516,435956014,57153883.88,0,493109897.9
IA,Proprietary,1516,308332799,106286018.1,0,414618817.1
IA,Public,1516,544250858,156355924.4,0,700606782.4
ID,Private,1516,55217376,51573344.61,0,106790720.6
ID,Proprietary,1516,10123319,7254433.42,0,17377752.42
ID,Public,1516,224363757,90687224.38,0,315050981.4
IL,Private,1516,1693668233,190827270.5,0,1884495503
IL,Proprietary,1516,660695064,216053507,0,876748571
IL,Public,1516,1206328464,552983475.6,0,1759311940
IN,Private,1516,538875665,90470314.43,0,629345979.4
IN,Proprietary,1516,278897278,194127567.4,0,473024845.4
IN,Public,1516,999519216,340246788,0,1339766004
KS,Private,1516,154994130,37327617.9,0,192321747.9
KS,Proprietary,1516,46689107,31086047.74,0,77775154.74
KS,Public,1516,558918578,174371523.5,0,733290101.5
KY,Private,1516,209564781,49779303.45,0,259344084.5
KY,Proprietary,1516,56361900,26062949.89,0,82424849.89
KY,Public,1516,777457597,276756382.4,0,1054213979
LA,Private,1516,217321622,25639977.39,0,242961599.4
LA,Proprietary,1516,51482439,42289407.31,0,93771846.31
LA,Public,1516,708998381,304867009.3,0,1013865390
MA,Private,1516,1728161693,155119503.5,0,1883281197
MA,Proprietary,1516,33333512,18979375.03,0,52312887.03
MA,Public,1516,645072349,278921429.3,0,923993778.3
MD,Private,1516,302914237,25019740.94,0,327933977.9
MD,Proprietary,1516,37366033,26878361.63,0,64244394.63
MD,Public,1516,957833623,299614648.7,0,1257448272
ME,Private,1516,171419653,15547613.64,0,186967266.6
ME,Proprietary,1516,9337119,7129078.24,0,16466197.24
ME,Public,1516,162333598,70764263.39,0,233097861.4
MI,Private,1516,561344063,108703897.8,0,670047960.8
MI,Proprietary,1516,53413797,42777095.75,0,96190892.75
MI,Public,1516,1900964512,573676423.9,0,2474640936
MN,Private,1516,418870386,54356447.62,0,473226833.6
MN,Proprietary,1516,914688871,92376135.01,0,1007065006
MN,Public,1516,902772839,272719730,0,1175492569
MO,Private,1516,943772616,129949589.4,0,1073722205
MO,Proprietary,1516,66143297,44105516.88,0,110248813.9
MO,Public,1516,767146840,296138382,0,1063285222
MS,Private,1516,135365026,25081345.59,0,160446371.6
MS,Proprietary,1516,1871409,3172886.54,0,5044295.54
MS,Public,1516,512132982,292707244.9,0,804840226.9
MT,Private,1516,21104679,5242195.98,0,26346874.98
MT,Proprietary,1516,1642831,1317323,0,2960154
MT,Public,1516,176438976,56924142.81,0,233363118.8
NC,Private,1516,699463250,111417793.4,0,810881043.4
NC,Proprietary,1516,65758964,16112845.95,0,81871809.95
NC,Public,1516,1301822645,660340999.5,0,1962163644
ND,Private,1516,23862301,6023520.43,0,29885821.43
ND,Proprietary,1516,1470098,814562.97,0,2284660.97
ND,Public,1516,157048646,33155960.27,0,190204606.3
NE,Private,1516,215435682,26309247.16,0,241744929.2
NE,Proprietary,1516,5286495,2828298.76,0,8114793.76
NE,Public,1516,287753795,88941606.72,0,376695401.7
NH,Private,1516,481923844,62759237.26,0,544683081.3
NH,Proprietary,1516,7609841,3017333.57,0,10627174.57
NH,Public,1516,214771096,42751792.46,0,257522888.5
NJ,Private,1516,377594604,71815682.34,0,449410286.3
NJ,Proprietary,1516,97124333,61305288.63,0,158429621.6
NJ,Public,1516,1059367205,457946716.1,0,1517313921
NM,Private,1516,9957236,1391846,0,11349082
NM,Proprietary,1516,15338820,6662383.18,0,22001203.18
NM,Public,1516,221642298,161574861.6,0,383217159.6
NV,Private,1516,73344617,3064806.45,0,76409423.45
NV,Proprietary,1516,11327832,9403809.63,0,20731641.63
NV,Public,1516,244617251,118369968.8,0,362987219.8
NY,Private,1516,3699406452,439817349.2,0,4139223801
NY,Proprietary,1516,320138959,203379940.6,0,523518899.6
NY,Public,1516,1646955531,1185290473,0,2832246004
OH,Private,1516,863561909,134412158.5,0,997974067.5
OH,Proprietary,1516,96796075,58856896.92,0,155652971.9
OH,Public,1516,1842474264,570959767,0,2413434031
OK,Private,1516,138639438,29146620.81,0,167786058.8
OK,Proprietary,1516,52347881,31755321.85,0,84103202.85
OK,Public,1516,542377775,230682361.9,0,773060136.9
OR,Private,1516,343701517,30227705.34,0,373929222.3
OR,Proprietary,1516,41359093,23161264.23,0,64520357.23
OR,Public,1516,572132595,232466795,0,804599390
PA,Private,1516,2409939421,265373231.5,0,2675312652
PA,Proprietary,1516,212383218,121887124.4,0,334270342.4
PA,Public,1516,1769826606,445133640.1,0,2214960246
RI,Private,1516,296748987,46985119.49,0,343734106.5
RI,Proprietary,1516,5750459,3207656.76,0,8958115.76
RI,Public,1516,144536097,52719318.44,0,197255415.4
SC,Private,1516,226810371,63337521.01,0,290147892
SC,Proprietary,1516,27665844,10678949.97,0,38344793.97
SC,Public,1516,855553383,279629096.3,0,1135182479
SD,Private,1516,32132986,6188310.69,0,38321296.69
SD,Proprietary,1516,32769408,22511563.66,0,55280971.66
SD,Public,1516,180269712,44445682.42,0,224715394.4
TN,Private,1516,598981626,95663367.57,0,694644993.6
TN,Proprietary,1516,86167378,52287139.98,0,138454518
TN,Public,1516,785883872,357071734.4,0,1142955606
TX,Private,1516,831854817,161117003.1,0,992971820.1
TX,Proprietary,1516,252137532,175727001.9,0,427864533.9
TX,Public,1516,3269669573,1655693584,0,4925363157
UT,Private,1516,219212773,121309906.2,0,340522679.2
UT,Proprietary,1516,85661095,48809106.12,0,134470201.1
UT,Public,1516,323875745,191494327.7,0,515370072.7
VA,Private,1516,970599608,147866743.9,0,1118466352
VA,Proprietary,1516,116031498,79163454.39,0,195194952.4
VA,Public,1516,1276554305,386469199,0,1663023504
VT,Private,1516,134156219,14071815.67,0,148228034.7
VT,Proprietary,1516,2024826,766568.43,0,2791394.43
VT,Public,1516,122916415,22416605.26,0,145333020.3
WA,Private,1516,316988527,39819339.2,0,356807866.2
WA,Proprietary,1516,49842283,23707055.57,0,73549338.57
WA,Public,1516,706788401,326771723.7,0,1033560125
WI,Private,1516,397237169,49439073.85,0,446676242.9
WI,Proprietary,1516,53803193,27449450.66,0,81252643.66
WI,Public,1516,847709624,281794799.1,0,1129504423
WV,Private,1516,56882389,12181065.01,0,69063454.01
WV,Proprietary,1516,138121932,61335911.41,0,199457843.4
WV,Public,1516,389691819,116910167.1,0,506601986.1
WY,Private,1516,6593642,1963657,0,8557299
WY,Proprietary,1516,276401,311507,0,587908
WY,Public,1516,53085835,23914074.98,0,76999909.98
