"","School","State","School.Type","Total.Disbursements","Year"
"1","ALASKA PACIFIC UNIVERSITY","AK","PRIVATE",5195377,"2010_2011"
"2","UNIVERSITY OF ALASKA FAIRBANKS","AK","PUBLIC",20756756,"2010_2011"
"3","UNIVERSITY OF ALASKA SOUTHEAST","AK","PUBLIC",7848190,"2010_2011"
"4","ALASKA BIBLE COLLEGE","AK","PRIVATE",15133,"2010_2011"
"5","UNIVERSITY OF ALASKA ANCHORAGE","AK","PUBLIC",47921798,"2010_2011"
"6","ALASKA CAREER COLLEGE","AK","PROPRIETARY",3177894,"2010_2011"
"7","CHARTER COLLEGE","AK","PROPRIETARY",30449733,"2010_2011"
"8","AVTEC - ALASKA'S INSTITUTE OF TECHNOLOGY","AK","PUBLIC",419960,"2010_2011"
"9","ALASKA CHRISTIAN COLLEGE","AK","PRIVATE",22040,"2010_2011"
"10","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","AL","PUBLIC",44354475,"2010_2011"
"11","FAULKNER UNIVERSITY","AL","PRIVATE",37087041,"2010_2011"
"12","UNIVERSITY OF MONTEVALLO","AL","PUBLIC",15680127,"2010_2011"
"13","ALABAMA STATE UNIVERSITY","AL","PUBLIC",48485693,"2010_2011"
"14","CENTRAL ALABAMA COMMUNITY COLLEGE","AL","PUBLIC",5915877,"2010_2011"
"15","ATHENS STATE UNIVERSITY","AL","PUBLIC",13543022,"2010_2011"
"16","AUBURN UNIVERSITY","AL","PUBLIC",115782498,"2010_2011"
"17","BIRMINGHAM SOUTHERN COLLEGE","AL","PRIVATE",7156036,"2010_2011"
"18","CALHOUN COMMUNITY COLLEGE","AL","PUBLIC",10183886,"2010_2011"
"19","ENTERPRISE STATE COMMUNITY COLLEGE","AL","PUBLIC",2791297,"2010_2011"
"20","UNIVERSITY OF NORTH ALABAMA","AL","PUBLIC",24567597,"2010_2011"
"21","HUNTINGDON COLLEGE","AL","PRIVATE",7389455,"2010_2011"
"22","JACKSONVILLE STATE UNIVERSITY","AL","PUBLIC",52084490,"2010_2011"
"23","JEFFERSON STATE COMMUNITY COLLEGE","AL","PUBLIC",8274842,"2010_2011"
"24","JUDSON COLLEGE","AL","PRIVATE",1755660,"2010_2011"
"25","UNIVERSITY OF WEST ALABAMA","AL","PUBLIC",56470825,"2010_2011"
"26","MARION MILITARY INSTITUTE","AL","PUBLIC",1074546,"2010_2011"
"27","MILES COLLEGE","AL","PRIVATE",13586938,"2010_2011"
"28","UNIVERSITY OF MOBILE","AL","PRIVATE",14076758,"2010_2011"
"29","NORTHEAST ALABAMA COMMUNITY COLLEGE","AL","PUBLIC",1362510,"2010_2011"
"30","OAKWOOD UNIVERSITY","AL","PRIVATE",14510627,"2010_2011"
"31","SAMFORD UNIVERSITY","AL","PRIVATE",57629533,"2010_2011"
"32","SOUTHERN UNION STATE COMMUNITY COLLEGE","AL","PUBLIC",4703454,"2010_2011"
"33","SPRING HILL COLLEGE","AL","PRIVATE",10403041,"2010_2011"
"34","STILLMAN COLLEGE","AL","PRIVATE",9518695,"2010_2011"
"35","TALLADEGA COLLEGE","AL","PRIVATE",5210008,"2010_2011"
"36","TROY UNIVERSITY","AL","PUBLIC",185257482,"2010_2011"
"37","TUSKEGEE UNIVERSITY","AL","PRIVATE",34837219,"2010_2011"
"38","UNIVERSITY OF ALABAMA","AL","PUBLIC",155743889,"2010_2011"
"39","UNIVERSITY OF ALABAMA AT BIRMINGHAM","AL","PUBLIC",122268719,"2010_2011"
"40","UNIVERSITY OF ALABAMA IN HUNTSVILLE","AL","PUBLIC",29413264,"2010_2011"
"41","UNIVERSITY OF SOUTH ALABAMA","AL","PUBLIC",86930308,"2010_2011"
"42","JAMES H. FAULKNER STATE COMMUNITY COLLEGE","AL","PUBLIC",6262592,"2010_2011"
"43","NORTHWEST - SHOALS COMMUNITY COLLEGE","AL","PUBLIC",5588980,"2010_2011"
"44","GEORGE C. WALLACE STATE COMMUNITY COLLEGE","AL","PUBLIC",16037610,"2010_2011"
"45","AUBURN UNIVERSITY MONTGOMERY","AL","PUBLIC",30523119,"2010_2011"
"46","HERZING UNIVERSITY","AL","PROPRIETARY",2834861,"2010_2011"
"47","CONCORDIA COLLEGE ALABAMA","AL","PRIVATE",2573014,"2010_2011"
"48","UNITED STATES SPORTS ACADEMY","AL","PRIVATE",3810809,"2010_2011"
"49","HERITAGE CHRISTIAN UNIVERSITY","AL","PRIVATE",273045,"2010_2011"
"50","SOUTHEASTERN BIBLE COLLEGE","AL","PRIVATE",1498586,"2010_2011"
"51","PAUL MITCHELL THE SCHOOL HUNTSVILLE","AL","PROPRIETARY",917916,"2010_2011"
"52","PRINCE INSTITUTE - SOUTHEAST","AL","PROPRIETARY",1117997,"2010_2011"
"53","FORTIS COLLEGE","AL","PROPRIETARY",9314231,"2010_2011"
"54","AMRIDGE UNIVERSITY","AL","PRIVATE",9051386,"2010_2011"
"55","REMINGTON COLLEGE - MOBILE CAMPUS","AL","PRIVATE",32910264,"2010_2011"
"56","VIRGINIA COLLEGE","AL","PROPRIETARY",189931497,"2010_2011"
"57","FORTIS COLLEGE","AL","PROPRIETARY",2359136,"2010_2011"
"58","BLUE CLIFF CAREER COLLEGE","AL","PROPRIETARY",794256,"2010_2011"
"59","HUNTSVILLE BIBLE COLLEGE","AL","PRIVATE",235830,"2010_2011"
"60","CARDIAC AND VASCULAR INSTITUTE OF ULTRASOUND","AL","PROPRIETARY",664298,"2010_2011"
"61","SELMA UNIVERSITY","AL","PRIVATE",1133660,"2010_2011"
"62","COLUMBIA SOUTHERN UNIVERSITY","AL","PROPRIETARY",48125516,"2010_2011"
"63","XCELL ACADEMY A PAUL MITCHELL SCHOOL","AL","PROPRIETARY",1291638,"2010_2011"
"64","UNIVERSITY OF ARKANSAS AT MONTICELLO","AR","PUBLIC",13248975,"2010_2011"
"65","UNIVERSITY OF ARKANSAS AT PINE BLUFF","AR","PUBLIC",17080685,"2010_2011"
"66","ARKANSAS BAPTIST COLLEGE","AR","PRIVATE",8285964,"2010_2011"
"67","LYON COLLEGE","AR","PRIVATE",3089171,"2010_2011"
"68","ARKANSAS TECH UNIVERSITY","AR","PUBLIC",33281875,"2010_2011"
"69","ARKANSAS STATE UNIVERSITY","AR","PUBLIC",78633291,"2010_2011"
"70","ARKANSAS STATE UNIVERSITY - BEEBE","AR","PUBLIC",4774742,"2010_2011"
"71","UNIVERSITY OF CENTRAL ARKANSAS","AR","PUBLIC",50602937,"2010_2011"
"72","CENTRAL BAPTIST COLLEGE","AR","PRIVATE",3239167,"2010_2011"
"73","UNIVERSITY OF THE OZARKS","AR","PRIVATE",2287320,"2010_2011"
"74","CROWLEY'S RIDGE COLLEGE","AR","PRIVATE",722172,"2010_2011"
"75","HARDING UNIVERSITY","AR","PRIVATE",44157125,"2010_2011"
"76","HENDERSON STATE UNIVERSITY","AR","PUBLIC",18612047,"2010_2011"
"77","HENDRIX COLLEGE","AR","PRIVATE",7474690,"2010_2011"
"78","JOHN BROWN UNIVERSITY","AR","PRIVATE",12834674,"2010_2011"
"79","UNIVERSITY OF ARKANSAS AT LITTLE ROCK","AR","PUBLIC",62186348,"2010_2011"
"80","OUACHITA BAPTIST UNIVERSITY","AR","PRIVATE",5400539,"2010_2011"
"81","PHILANDER SMITH COLLEGE","AR","PRIVATE",5787387,"2010_2011"
"82","PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS","AR","PUBLIC",403196,"2010_2011"
"83","WILLIAMS BAPTIST COLLEGE","AR","PRIVATE",2288082,"2010_2011"
"84","SOUTHERN ARKANSAS UNIVERSITY","AR","PUBLIC",13646536,"2010_2011"
"85","UNIVERSITY OF ARKANSAS","AR","PUBLIC",81659266,"2010_2011"
"86","UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES","AR","PUBLIC",40117137,"2010_2011"
"87","UNIVERSITY OF ARKANSAS AT FORT SMITH","AR","PUBLIC",21660742,"2010_2011"
"88","UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT MORRILTON","AR","PUBLIC",3562021,"2010_2011"
"89","SOUTHEAST ARKANSAS COLLEGE","AR","PUBLIC",2546841,"2010_2011"
"90","UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT HOPE","AR","PUBLIC",256624,"2010_2011"
"91","SOUTHERN ARKANSAS UNIVERSITY TECH","AR","PUBLIC",1996283,"2010_2011"
"92","PAUL MITCHELL THE SCHOOL ARKANSAS","AR","PROPRIETARY",565068,"2010_2011"
"93","COLLEGE OF THE OUACHITAS","AR","PUBLIC",1240978,"2010_2011"
"94","ACADEMY OF SALON AND SPA","AR","PROPRIETARY",558151,"2010_2011"
"95","NATIONAL PARK COMMUNITY COLLEGE","AR","PUBLIC",12134720,"2010_2011"
"96","EAST ARKANSAS COMMUNITY COLLEGE","AR","PUBLIC",246902,"2010_2011"
"97","NORTH ARKANSAS COLLEGE","AR","PUBLIC",4971044,"2010_2011"
"98","BLACK RIVER TECHNICAL COLLEGE","AR","PUBLIC",6758889,"2010_2011"
"99","UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT BATESVILLE","AR","PUBLIC",3887324,"2010_2011"
"100","SOUTH ARKANSAS COMMUNITY COLLEGE","AR","PUBLIC",4016841,"2010_2011"
"101","PULASKI TECHNICAL COLLEGE","AR","PUBLIC",61674163,"2010_2011"
"102","OZARKA COLLEGE","AR","PUBLIC",5404450,"2010_2011"
"103","PROFESSIONAL COSMETOLOGY EDUCATION CENTER","AR","PROPRIETARY",278023,"2010_2011"
"104","BEE JAY'S HAIRSTYLING ACADEMY","AR","PROPRIETARY",278528,"2010_2011"
"105","EASTERN COLLEGE OF HEALTH VOCATIONS","AR","PROPRIETARY",2040754,"2010_2011"
"106","NEW TYLER BARBER COLLEGE","AR","PROPRIETARY",391101,"2010_2011"
"107","JRMC SCHOOL OF NURSING","AR","PRIVATE",257820,"2010_2011"
"108","CAREER ACADEMY OF HAIR DESIGN","AR","PROPRIETARY",1448226,"2010_2011"
"109","ARTHUR'S BEAUTY COLLEGE","AR","PROPRIETARY",183718,"2010_2011"
"110","LEES SCHOOL OF COSMETOLOGY","AR","PROPRIETARY",145072,"2010_2011"
"111","ARTHUR'S BEAUTY COLLEGE","AR","PROPRIETARY",826978,"2010_2011"
"112","SEARCY BEAUTY COLLEGE","AR","PROPRIETARY",214842,"2010_2011"
"113","ARKANSAS BEAUTY SCHOOL","AR","PROPRIETARY",340614,"2010_2011"
"114","HOT SPRINGS BEAUTY COLLEGE","AR","PROPRIETARY",50750,"2010_2011"
"115","ARKANSAS BEAUTY SCHOOL/CONWAY","AR","PROPRIETARY",373266,"2010_2011"
"116","ARKANSAS COLLEGE OF BARBERING & HAIR DESIGN","AR","PROPRIETARY",673851,"2010_2011"
"117","NORTHWEST ARKANSAS COMMUNITY COLLEGE","AR","PUBLIC",20527258,"2010_2011"
"118","ABC BEAUTY COLLEGE","AR","PROPRIETARY",425461,"2010_2011"
"119","BAPTIST HEALTH SCHOOLS LITTLE ROCK","AR","PRIVATE",5973386,"2010_2011"
"120","IMAGINE - PAUL MITCHELL PARTNER SCHOOL","AR","PROPRIETARY",2934377,"2010_2011"
"121","ASKINS VO TECH","AR","PROPRIETARY",8561,"2010_2011"
"122","MARGARET'S HAIR ACADEMY","AR","PROPRIETARY",97602,"2010_2011"
"123","LYNNDALE FUNDAMENTALS OF BEAUTY SCHOOL","AR","PROPRIETARY",35826,"2010_2011"
"124","ECCLESIA COLLEGE","AR","PRIVATE",365349,"2010_2011"
"125","CROSSETT SCHOOL OF COSMETOLOGY","AR","PROPRIETARY",133084,"2010_2011"
"126","ARKANSAS BEAUTY COLLEGE","AR","PROPRIETARY",135104,"2010_2011"
"127","WASHINGTON BARBER COLLEGE","AR","PROPRIETARY",202692,"2010_2011"
"128","SALON PROFESSIONAL ACADEMY (THE)","AR","PROPRIETARY",124355,"2010_2011"
"129","THUNDERBIRD SCHOOL OF GLOBAL MANAGEMENT","AZ","PRIVATE",18948162,"2010_2011"
"130","ARIZONA WESTERN COLLEGE","AZ","PUBLIC",3275935,"2010_2011"
"131","COCHISE COLLEGE","AZ","PUBLIC",1876410,"2010_2011"
"132","GRAND CANYON UNIVERSITY","AZ","PROPRIETARY",413909260,"2010_2011"
"133","GLENDALE COMMUNITY COLLEGE","AZ","PUBLIC",19571035,"2010_2011"
"134","MESA COMMUNITY COLLEGE","AZ","PUBLIC",36060071,"2010_2011"
"135","PHOENIX COLLEGE","AZ","PUBLIC",25814655,"2010_2011"
"136","YAVAPAI COLLEGE","AZ","PUBLIC",4435241,"2010_2011"
"137","ARIZONA STATE UNIVERSITY","AZ","PUBLIC",422810592,"2010_2011"
"138","NORTHERN ARIZONA UNIVERSITY","AZ","PUBLIC",156153159,"2010_2011"
"139","UNIVERSITY OF ARIZONA (THE)","AZ","PUBLIC",199497348,"2010_2011"
"140","TUCSON COLLEGE","AZ","PROPRIETARY",3843173,"2010_2011"
"141","ARIZONA CHRISTIAN UNIVERSITY","AZ","PRIVATE",2741488,"2010_2011"
"142","PIMA COUNTY COMMUNITY COLLEGE","AZ","PUBLIC",33231457,"2010_2011"
"143","CENTRAL ARIZONA COLLEGE","AZ","PUBLIC",5703651,"2010_2011"
"144","UNIVERSAL TECHNICAL INSTITUTE","AZ","PROPRIETARY",135116864,"2010_2011"
"145","GATEWAY COMMUNITY COLLEGE","AZ","PUBLIC",15601458,"2010_2011"
"146","SCOTTSDALE COMMUNITY COLLEGE","AZ","PUBLIC",10372622,"2010_2011"
"147","DEVRY INSTITUTE OF TECHNOLOGY","AZ","PROPRIETARY",51969,"2010_2011"
"148","ARIZONA ACADEMY OF BEAUTY","AZ","PROPRIETARY",315493,"2010_2011"
"149","EMPIRE BEAUTY SCHOOL","AZ","PROPRIETARY",2525759,"2010_2011"
"150","BROWN MACKIE COLLEGE","AZ","PROPRIETARY",10916309,"2010_2011"
"151","ARIZONA AUTOMOTIVE INSTITUTE","AZ","PROPRIETARY",18727705,"2010_2011"
"152","AVALON SCHOOL OF COSMETOLOGY","AZ","PROPRIETARY",3770473,"2010_2011"
"153","REFRIGERATION SCHOOL (THE)","AZ","PROPRIETARY",6019619,"2010_2011"
"154","ARIZONA ACADEMY OF BEAUTY - NORTH","AZ","PROPRIETARY",276716,"2010_2011"
"155","EMPIRE BEAUTY SCHOOL - FLAGSTAFF","AZ","PROPRIETARY",3124817,"2010_2011"
"156","MOHAVE COMMUNITY COLLEGE","AZ","PUBLIC",11432896,"2010_2011"
"157","INTERNATIONAL ACADEMY OF HAIR DESIGN","AZ","PROPRIETARY",1580017,"2010_2011"
"158","EMPIRE BEAUTY SCHOOL","AZ","PROPRIETARY",2443768,"2010_2011"
"159","EMPIRE BEAUTY SCHOOL","AZ","PROPRIETARY",912428,"2010_2011"
"160","ITT TECHNICAL INSTITUTE","AZ","PROPRIETARY",5930892,"2010_2011"
"161","PRESCOTT COLLEGE","AZ","PRIVATE",11526748,"2010_2011"
"162","KAPLAN COLLEGE","AZ","PROPRIETARY",4644768,"2010_2011"
"163","UNIVERSITY OF PHOENIX","AZ","PROPRIETARY",3512106444,"2010_2011"
"164","UNIVERSAL TECHNICAL INSTITUTE","AZ","PROPRIETARY",108680084,"2010_2011"
"165","CARRINGTON COLLEGE","AZ","PROPRIETARY",36147674,"2010_2011"
"166","ROBERTO-VENN SCHOOL OF LUTHIERY","AZ","PROPRIETARY",350848,"2010_2011"
"167","SOUTH MOUNTAIN COMMUNITY COLLEGE","AZ","PUBLIC",4061808,"2010_2011"
"168","WESTERN INTERNATIONAL UNIVERSITY","AZ","PROPRIETARY",16812694,"2010_2011"
"169","COLLINS COLLEGE","AZ","PROPRIETARY",43782,"2010_2011"
"170","RIO SALADO COMMUNITY COLLEGE","AZ","PUBLIC",56645280,"2010_2011"
"171","MARICOPA BEAUTY COLLEGE","AZ","PROPRIETARY",824248,"2010_2011"
"172","AMERICAN INDIAN COLLEGE OF THE ASSEMBLIES OF GOD","AZ","PRIVATE",218473,"2010_2011"
"173","PIMA MEDICAL INSTITUTE","AZ","PROPRIETARY",69356642,"2010_2011"
"174","BROOKLINE COLLEGE","AZ","PROPRIETARY",34386193,"2010_2011"
"175","EMPIRE BEAUTY SCHOOL","AZ","PROPRIETARY",1969194,"2010_2011"
"176","ANTHEM COLLEGE","AZ","PROPRIETARY",32709086,"2010_2011"
"177","CHARLES OF ITALY BEAUTY COLLEGE","AZ","PROPRIETARY",310958,"2010_2011"
"178","EVEREST COLLEGE PHOENIX","AZ","PROPRIETARY",47671940,"2010_2011"
"179","AMERICAN INSTITUTE OF TECHNOLOGY","AZ","PROPRIETARY",7605199,"2010_2011"
"180","ITT TECHNICAL INSTITUTE","AZ","PROPRIETARY",5225207,"2010_2011"
"181","SOUTHWEST UNIVERSITY OF VISUAL ARTS","AZ","PROPRIETARY",5471764,"2010_2011"
"182","LAMSON COLLEGE","AZ","PROPRIETARY",1502667,"2010_2011"
"183","FRANK LLOYD WRIGHT SCHOOL OF ARCHITECTURE","AZ","PRIVATE",437052,"2010_2011"
"184","UNIVERSITY OF ADVANCING COMPUTER TECHNOLOGY","AZ","PROPRIETARY",12380700,"2010_2011"
"185","BRILLARE HAIRDRESSING ACADEMY","AZ","PROPRIETARY",1757027,"2010_2011"
"186","CORTIVA INSTITUTE - TUCSON","AZ","PROPRIETARY",2120509,"2010_2011"
"187","LE CORDON BLEU COLLEGE OF CULINARY ARTS","AZ","PROPRIETARY",24672247,"2010_2011"
"188","PARADISE VALLEY COMMUNITY COLLEGE","AZ","PUBLIC",7772012,"2010_2011"
"189","CORTIVA INSTITUTE - SCOTTSDALE","AZ","PROPRIETARY",973116,"2010_2011"
"190","SAFFORD COLLEGE OF BEAUTY CULTURE","AZ","PROPRIETARY",89850,"2010_2011"
"191","CONSERVATORY OF RECORDING ARTS & SCIENCES","AZ","PROPRIETARY",7598258,"2010_2011"
"192","CHANDLER - GILBERT COMMUNITY COLLEGE","AZ","PUBLIC",10170809,"2010_2011"
"193","BRYMAN SCHOOL OF ARIZONA (THE)","AZ","PROPRIETARY",23504467,"2010_2011"
"194","CARSTEN INSTITUTE OF COSMETOLOGY","AZ","PROPRIETARY",1247365,"2010_2011"
"195","COCONINO COUNTY COMMUNITY COLLEGE","AZ","PUBLIC",5772961,"2010_2011"
"196","SOUTHWEST COLLEGE OF NATUROPATHIC MEDICINE & HEALTH SCIENCES","AZ","PRIVATE",13909147,"2010_2011"
"197","ARIZONA COLLEGE","AZ","PROPRIETARY",6059845,"2010_2011"
"198","COLLEGEAMERICA - FLAGSTAFF","AZ","PROPRIETARY",7323282,"2010_2011"
"199","ESTRELLA MOUNTAIN COMMUNITY COLLEGE","AZ","PUBLIC",13001395,"2010_2011"
"200","INTERNATIONAL BAPTIST COLLEGE & SEMINARY","AZ","PRIVATE",131014,"2010_2011"
"201","HDS TRUCK DRIVING INSTITUTE","AZ","PROPRIETARY",407400,"2010_2011"
"202","PHOENIX SEMINARY","AZ","PRIVATE",215585,"2010_2011"
"203","SOUTHWEST INSTITUTE OF HEALING ARTS","AZ","PROPRIETARY",4144706,"2010_2011"
"204","PHOENIX INSTITUTE OF HERBAL MEDICINE & ACUPUNCTURE","AZ","PROPRIETARY",1469318,"2010_2011"
"205","ARIZONA SCHOOL OF ACUPUNCTURE AND ORIENTAL MEDICINE","AZ","PROPRIETARY",1069621,"2010_2011"
"206","ART INSTITUTE OF TUCSON (THE)","AZ","PROPRIETARY",1538395,"2010_2011"
"207","NORTHCENTRAL UNIVERSITY","AZ","PROPRIETARY",47100628,"2010_2011"
"208","TURNING POINT BEAUTY COLLEGE","AZ","PROPRIETARY",571638,"2010_2011"
"209","ART INSTITUTE OF PHOENIX (THE)","AZ","PROPRIETARY",202054818,"2010_2011"
"210","TUCSON COLLEGE OF BEAUTY","AZ","PROPRIETARY",491726,"2010_2011"
"211","ARIZONA CULINARY INSTITUTE","AZ","PROPRIETARY",1632088,"2010_2011"
"212","PHOENIX SCHOOL OF LAW","AZ","PROPRIETARY",36276765,"2010_2011"
"213","UNIVERSAL BARBER COLLEGE","AZ","PROPRIETARY",322780,"2010_2011"
"214","AMERICAN INSTITUTE OF INTERIOR DESIGN","AZ","PROPRIETARY",90630,"2010_2011"
"215","STUDIO ACADEMY OF BEAUTY (THE)","AZ","PROPRIETARY",941202,"2010_2011"
"216","NATIONAL PARALEGAL COLLEGE","AZ","PROPRIETARY",2237066,"2010_2011"
"217","CCIC BEAUTY COLLEGE","AZ","PROPRIETARY",145279,"2010_2011"
"218","PAUL MITCHELL THE SCHOOL PHOENIX","AZ","PROPRIETARY",788852,"2010_2011"
"219","ALL BEAUTY COLLEGE","AZ","PROPRIETARY",267034,"2010_2011"
"220","PENROSE ACADEMY","AZ","PROPRIETARY",945269,"2010_2011"
"221","PURE AESTHETICS","AZ","PROPRIETARY",61330,"2010_2011"
"222","AVEDA INSTITUTE TUCSON","AZ","PROPRIETARY",12611,"2010_2011"
"223","ALLAN HANCOCK COLLEGE","CA","PUBLIC",1228304,"2010_2011"
"224","ANTELOPE VALLEY COLLEGE","CA","PUBLIC",20603521,"2010_2011"
"225","ART CENTER COLLEGE OF DESIGN","CA","PRIVATE",20653264,"2010_2011"
"226","AZUSA PACIFIC UNIVERSITY","CA","PRIVATE",109411839,"2010_2011"
"227","BAKERSFIELD COLLEGE","CA","PUBLIC",6353702,"2010_2011"
"228","AMERICAN BAPTIST SEMINARY OF THE WEST","CA","PRIVATE",675658,"2010_2011"
"229","BETHANY UNIVERSITY OF THE ASSEMBLIES OF GOD","CA","PRIVATE",2907864,"2010_2011"
"230","BIOLA UNIVERSITY","CA","PRIVATE",37979106,"2010_2011"
"231","BROOKS INSTITUTE","CA","PROPRIETARY",16023002,"2010_2011"
"232","CABRILLO COLLEGE","CA","PUBLIC",3668614,"2010_2011"
"233","CALIFORNIA BAPTIST UNIVERSITY","CA","PRIVATE",49792218,"2010_2011"
"234","CALIFORNIA COLLEGE OF THE ARTS","CA","PRIVATE",20604540,"2010_2011"
"235","CALIFORNIA INSTITUTE OF TECHNOLOGY","CA","PRIVATE",1200069,"2010_2011"
"236","CALIFORNIA INSTITUTE OF THE ARTS","CA","PRIVATE",20440045,"2010_2011"
"237","CALIFORNIA LUTHERAN UNIVERSITY","CA","PRIVATE",32125786,"2010_2011"
"238","CALIFORNIA MARITIME ACADEMY","CA","PUBLIC",5806731,"2010_2011"
"239","CALIFORNIA STATE UNIVERSITY, FULLERTON","CA","PUBLIC",89715723,"2010_2011"
"240","CALIFORNIA STATE UNIVERSITY, EAST BAY","CA","PUBLIC",50810650,"2010_2011"
"241","CALIFORNIA STATE UNIVERSITY, LONG BEACH","CA","PUBLIC",99473760,"2010_2011"
"242","CALIFORNIA STATE UNIVERSITY, LOS ANGELES","CA","PUBLIC",60909273,"2010_2011"
"243","CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS","CA","PUBLIC",45782781,"2010_2011"
"244","CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO","CA","PUBLIC",73764921,"2010_2011"
"245","CALIFORNIA POLYTECHNIC STATE UNIVERSITY","CA","PUBLIC",70047499,"2010_2011"
"246","CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA","CA","PUBLIC",54502329,"2010_2011"
"247","CALIFORNIA STATE UNIVERSITY, CHICO","CA","PUBLIC",49353972,"2010_2011"
"248","CALIFORNIA STATE UNIVERSITY, FRESNO","CA","PUBLIC",61433141,"2010_2011"
"249","HUMBOLDT STATE UNIVERSITY","CA","PUBLIC",32548740,"2010_2011"
"250","CALIFORNIA STATE UNIVERSITY - SACRAMENTO","CA","PUBLIC",104896941,"2010_2011"
"251","SAN DIEGO STATE UNIVERSITY","CA","PUBLIC",114389268,"2010_2011"
"252","CALIFORNIA STATE UNIVERSITY, NORTHRIDGE","CA","PUBLIC",115870609,"2010_2011"
"253","SAN FRANCISCO STATE UNIVERSITY","CA","PUBLIC",120820520,"2010_2011"
"254","SAN JOSE STATE UNIVERSITY","CA","PUBLIC",86818936,"2010_2011"
"255","SONOMA STATE UNIVERSITY","CA","PUBLIC",36617436,"2010_2011"
"256","CALIFORNIA STATE UNIVERSITY, STANISLAUS","CA","PUBLIC",31239343,"2010_2011"
"257","CERRITOS COMMUNITY COLLEGE","CA","PUBLIC",2896969,"2010_2011"
"258","CHABOT COLLEGE","CA","PUBLIC",3385605,"2010_2011"
"259","CHAPMAN UNIVERSITY","CA","PRIVATE",80961992,"2010_2011"
"260","CHURCH DIVINITY SCHOOL OF THE PACIFIC","CA","PRIVATE",563121,"2010_2011"
"261","CITRUS COMMUNITY COLLEGE","CA","PUBLIC",3454016,"2010_2011"
"262","CLAREMONT GRADUATE UNIVERSITY","CA","PRIVATE",37148805,"2010_2011"
"263","CLAREMONT MCKENNA COLLEGE","CA","PRIVATE",1577808,"2010_2011"
"264","HARVEY MUDD COLLEGE","CA","PRIVATE",3232085,"2010_2011"
"265","PITZER COLLEGE","CA","PRIVATE",3123339,"2010_2011"
"266","POMONA COLLEGE","CA","PRIVATE",1540952,"2010_2011"
"267","SCRIPPS COLLEGE","CA","PRIVATE",2740378,"2010_2011"
"268","WEST HILLS COMMUNITY COLLEGE","CA","PUBLIC",902906,"2010_2011"
"269","COGSWELL POLYTECHNICAL COLLEGE","CA","PROPRIETARY",1906603,"2010_2011"
"270","COLLEGE OF MARIN","CA","PUBLIC",4821925,"2010_2011"
"271","NOTRE DAME DE NAMUR UNIVERSITY","CA","PRIVATE",17043364,"2010_2011"
"272","COLLEGE OF SAN MATEO","CA","PUBLIC",573850,"2010_2011"
"273","COLLEGE OF THE DESERT","CA","PUBLIC",997401,"2010_2011"
"274","HOLY NAMES UNIVERSITY","CA","PRIVATE",11426908,"2010_2011"
"275","COLLEGE OF THE REDWOODS","CA","PUBLIC",3881951,"2010_2011"
"276","COLLEGE OF THE SEQUOIAS","CA","PUBLIC",1069052,"2010_2011"
"277","COLLEGE OF THE SISKIYOUS","CA","PUBLIC",3989044,"2010_2011"
"278","CONTRA COSTA COLLEGE","CA","PUBLIC",1267254,"2010_2011"
"279","DIABLO VALLEY COLLEGE","CA","PUBLIC",738508,"2010_2011"
"280","CUESTA COLLEGE","CA","PUBLIC",3533518,"2010_2011"
"281","CYPRESS COLLEGE","CA","PUBLIC",4557774,"2010_2011"
"282","DOMINICAN UNIVERSITY OF CALIFORNIA","CA","PRIVATE",21550333,"2010_2011"
"283","EL CAMINO COLLEGE","CA","PUBLIC",2915321,"2010_2011"
"284","FOOTHILL COLLEGE","CA","PUBLIC",3459933,"2010_2011"
"285","FULLER THEOLOGICAL SEMINARY","CA","PRIVATE",25410973,"2010_2011"
"286","FULLERTON COLLEGE","CA","PUBLIC",3606890,"2010_2011"
"287","GAVILAN COLLEGE","CA","PUBLIC",1960369,"2010_2011"
"288","GLENDALE COMMUNITY COLLEGE","CA","PUBLIC",2433259,"2010_2011"
"289","GOLDEN GATE UNIVERSITY","CA","PRIVATE",50773319,"2010_2011"
"290","GOLDEN WEST COLLEGE","CA","PUBLIC",1856679,"2010_2011"
"291","GRADUATE THEOLOGICAL UNION","CA","PRIVATE",1584687,"2010_2011"
"292","GROSSMONT COLLEGE","CA","PUBLIC",1728767,"2010_2011"
"293","HARTNELL COMMUNITY COLLEGE","CA","PUBLIC",443585,"2010_2011"
"294","HUMPHREYS COLLEGE","CA","PRIVATE",15122785,"2010_2011"
"295","LA SIERRA UNIVERSITY","CA","PRIVATE",15459799,"2010_2011"
"296","UNIVERSITY OF LA VERNE","CA","PRIVATE",79535550,"2010_2011"
"297","LASSEN COLLEGE","CA","PUBLIC",1025582,"2010_2011"
"298","LOMA LINDA UNIVERSITY","CA","PRIVATE",112546498,"2010_2011"
