"","School","State","School.Type","Total.Disbursements","Year"
"30","OAKWOOD UNIVERSITY","AL","PRIVATE",15961306,"2012_2013"
"31","SAMFORD UNIVERSITY","AL","PRIVATE",56567768,"2012_2013"
"32","SNEAD STATE COMMUNITY COLLEGE","AL","PUBLIC",2254855,"2012_2013"
"33","SOUTHERN UNION STATE COMMUNITY COLLEGE","AL","PUBLIC",6597172,"2012_2013"
"34","SPRING HILL COLLEGE","AL","PRIVATE",8802940,"2012_2013"
"35","STILLMAN COLLEGE","AL","PRIVATE",7705851,"2012_2013"
"36","TALLADEGA COLLEGE","AL","PRIVATE",6029589,"2012_2013"
"37","TROY UNIVERSITY","AL","PUBLIC",149077803,"2012_2013"
"38","TUSKEGEE UNIVERSITY","AL","PRIVATE",40219468,"2012_2013"
"39","UNIVERSITY OF ALABAMA","AL","PUBLIC",170033924,"2012_2013"
"40","UNIVERSITY OF ALABAMA AT BIRMINGHAM","AL","PUBLIC",120308348,"2012_2013"
"41","UNIVERSITY OF ALABAMA IN HUNTSVILLE","AL","PUBLIC",29039160,"2012_2013"
"42","UNIVERSITY OF SOUTH ALABAMA","AL","PUBLIC",100881650,"2012_2013"
"43","JAMES H. FAULKNER STATE COMMUNITY COLLEGE","AL","PUBLIC",9228056,"2012_2013"
"44","NORTHWEST - SHOALS COMMUNITY COLLEGE","AL","PUBLIC",5059293,"2012_2013"
"45","GEORGE C. WALLACE STATE COMMUNITY COLLEGE","AL","PUBLIC",15051572,"2012_2013"
"46","AUBURN UNIVERSITY MONTGOMERY","AL","PUBLIC",25819705,"2012_2013"
"47","CONCORDIA COLLEGE ALABAMA","AL","PRIVATE",3737497,"2012_2013"
"48","CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE","AL","PUBLIC",2138656,"2012_2013"
"49","UNITED STATES SPORTS ACADEMY","AL","PRIVATE",5751419,"2012_2013"
"50","HERITAGE CHRISTIAN UNIVERSITY","AL","PRIVATE",250872,"2012_2013"
"51","SOUTHEASTERN BIBLE COLLEGE","AL","PRIVATE",1296555,"2012_2013"
"52","PAUL MITCHELL THE SCHOOL HUNTSVILLE","AL","PROPRIETARY",816616,"2012_2013"
"53","PRINCE INSTITUTE - SOUTHEAST","AL","PROPRIETARY",1459092,"2012_2013"
"54","FORTIS COLLEGE","AL","PROPRIETARY",13212598,"2012_2013"
"55","AMRIDGE UNIVERSITY","AL","PRIVATE",9039807,"2012_2013"
"56","REMINGTON COLLEGE - MOBILE CAMPUS","AL","PRIVATE",22547594,"2012_2013"
"57","VIRGINIA COLLEGE","AL","PROPRIETARY",185047666,"2012_2013"
"58","FORTIS COLLEGE","AL","PROPRIETARY",2990194,"2012_2013"
"59","BLUE CLIFF CAREER COLLEGE","AL","PROPRIETARY",612321,"2012_2013"
"60","HUNTSVILLE BIBLE COLLEGE","AL","PRIVATE",567224,"2012_2013"
"61","CARDIAC AND VASCULAR INSTITUTE OF ULTRASOUND","AL","PROPRIETARY",567083,"2012_2013"
"62","SELMA UNIVERSITY","AL","PRIVATE",2342250,"2012_2013"
"63","COLUMBIA SOUTHERN UNIVERSITY","AL","PROPRIETARY",70694262,"2012_2013"
"64","XCELL ACADEMY A PAUL MITCHELL SCHOOL","AL","PROPRIETARY",1077794,"2012_2013"
"65","NEW BEGINNING COLLEGE OF COSMETOLOGY","AL","PROPRIETARY",594529,"2012_2013"
"66","UNIVERSITY ACADEMY OF HAIR DESIGN","AL","PROPRIETARY",385613,"2012_2013"
"67","SALON PROFESSIONAL ACADEMY (THE)","AL","PROPRIETARY",190714,"2012_2013"
"68","UNIVERSITY OF ARKANSAS AT MONTICELLO","AR","PUBLIC",14495445,"2012_2013"
"69","UNIVERSITY OF ARKANSAS AT PINE BLUFF","AR","PUBLIC",15814491,"2012_2013"
"70","ARKANSAS BAPTIST COLLEGE","AR","PRIVATE",8073713,"2012_2013"
"71","LYON COLLEGE","AR","PRIVATE",2944682,"2012_2013"
"72","ARKANSAS TECH UNIVERSITY","AR","PUBLIC",35146587,"2012_2013"
"73","ARKANSAS STATE UNIVERSITY","AR","PUBLIC",79018911,"2012_2013"
"74","ARKANSAS STATE UNIVERSITY - BEEBE","AR","PUBLIC",3262205,"2012_2013"
"75","UNIVERSITY OF CENTRAL ARKANSAS","AR","PUBLIC",47288040,"2012_2013"
"76","CENTRAL BAPTIST COLLEGE","AR","PRIVATE",3823518,"2012_2013"
"77","UNIVERSITY OF THE OZARKS","AR","PRIVATE",2169638,"2012_2013"
"78","CROWLEY'S RIDGE COLLEGE","AR","PRIVATE",733899,"2012_2013"
"79","HARDING UNIVERSITY","AR","PRIVATE",47732953,"2012_2013"
"80","HENDERSON STATE UNIVERSITY","AR","PUBLIC",17976882,"2012_2013"
"81","HENDRIX COLLEGE","AR","PRIVATE",6398976,"2012_2013"
"82","JOHN BROWN UNIVERSITY","AR","PRIVATE",13855117,"2012_2013"
"83","UNIVERSITY OF ARKANSAS AT LITTLE ROCK","AR","PUBLIC",62193626,"2012_2013"
"84","OUACHITA BAPTIST UNIVERSITY","AR","PRIVATE",5677859,"2012_2013"
"85","PHILANDER SMITH COLLEGE","AR","PRIVATE",5160705,"2012_2013"
"86","PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS","AR","PUBLIC",214700,"2012_2013"
"87","SHORTER COLLEGE","AR","PRIVATE",1107615,"2012_2013"
"88","WILLIAMS BAPTIST COLLEGE","AR","PRIVATE",2105080,"2012_2013"
"89","SOUTHERN ARKANSAS UNIVERSITY","AR","PUBLIC",13727084,"2012_2013"
"90","UNIVERSITY OF ARKANSAS","AR","PUBLIC",95207710,"2012_2013"
"91","UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES","AR","PUBLIC",43475093,"2012_2013"
"92","UNIVERSITY OF ARKANSAS AT FORT SMITH","AR","PUBLIC",15879574,"2012_2013"
"93","UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT MORRILTON","AR","PUBLIC",3757134,"2012_2013"
"94","SOUTHEAST ARKANSAS COLLEGE","AR","PUBLIC",2202232,"2012_2013"
"95","UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT HOPE","AR","PUBLIC",167046,"2012_2013"
"96","SOUTHERN ARKANSAS UNIVERSITY TECH","AR","PUBLIC",1129628,"2012_2013"
"97","PAUL MITCHELL THE SCHOOL ARKANSAS","AR","PROPRIETARY",626366,"2012_2013"
"98","COLLEGE OF THE OUACHITAS","AR","PUBLIC",1514125,"2012_2013"
"99","ACADEMY OF SALON AND SPA","AR","PROPRIETARY",455224,"2012_2013"
"100","NATIONAL PARK COMMUNITY COLLEGE","AR","PUBLIC",9852406,"2012_2013"
"101","EAST ARKANSAS COMMUNITY COLLEGE","AR","PUBLIC",215494,"2012_2013"
"102","NORTH ARKANSAS COLLEGE","AR","PUBLIC",4246351,"2012_2013"
"103","BLACK RIVER TECHNICAL COLLEGE","AR","PUBLIC",5621132,"2012_2013"
"104","UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT BATESVILLE","AR","PUBLIC",2049047,"2012_2013"
"105","SOUTH ARKANSAS COMMUNITY COLLEGE","AR","PUBLIC",5339537,"2012_2013"
"106","PULASKI TECHNICAL COLLEGE","AR","PUBLIC",63696111,"2012_2013"
"107","OZARKA COLLEGE","AR","PUBLIC",5116000,"2012_2013"
"108","PROFESSIONAL COSMETOLOGY EDUCATION CENTER","AR","PROPRIETARY",241298,"2012_2013"
"109","EASTERN COLLEGE OF HEALTH VOCATIONS","AR","PROPRIETARY",1857926,"2012_2013"
"110","NEW TYLER BARBER COLLEGE","AR","PROPRIETARY",315861,"2012_2013"
"111","JRMC SCHOOL OF NURSING","AR","PRIVATE",458163,"2012_2013"
"112","CAREER ACADEMY OF HAIR DESIGN","AR","PROPRIETARY",1764198,"2012_2013"
"113","ARTHUR'S BEAUTY COLLEGE","AR","PROPRIETARY",140680,"2012_2013"
"114","LEES SCHOOL OF COSMETOLOGY","AR","PROPRIETARY",115875,"2012_2013"
"115","ARTHUR'S BEAUTY COLLEGE","AR","PROPRIETARY",1028058,"2012_2013"
"116","SEARCY BEAUTY COLLEGE","AR","PROPRIETARY",392242,"2012_2013"
"117","ARKANSAS BEAUTY SCHOOL- LITTLE ROCK","AR","PROPRIETARY",302489,"2012_2013"
"118","HOT SPRINGS BEAUTY COLLEGE","AR","PROPRIETARY",83102,"2012_2013"
"119","ARKANSAS BEAUTY SCHOOL/CONWAY","AR","PROPRIETARY",187081,"2012_2013"
"120","ARKANSAS COLLEGE OF BARBERING & HAIR DESIGN","AR","PROPRIETARY",885764,"2012_2013"
"121","NORTHWEST ARKANSAS COMMUNITY COLLEGE","AR","PUBLIC",20379649,"2012_2013"
"122","ABC BEAUTY COLLEGE","AR","PROPRIETARY",375775,"2012_2013"
"123","BAPTIST HEALTH SCHOOLS LITTLE ROCK","AR","PRIVATE",5810360,"2012_2013"
"124","IMAGINE - PAUL MITCHELL PARTNER SCHOOL","AR","PROPRIETARY",3133619,"2012_2013"
"125","MARGARET'S HAIR ACADEMY","AR","PROPRIETARY",111937,"2012_2013"
"126","LYNNDALE FUNDAMENTALS OF BEAUTY SCHOOL","AR","PROPRIETARY",32106,"2012_2013"
"127","ECCLESIA COLLEGE","AR","PRIVATE",552512,"2012_2013"
"128","CROSSETT SCHOOL OF COSMETOLOGY","AR","PROPRIETARY",177049,"2012_2013"
"129","ARKANSAS BEAUTY COLLEGE","AR","PROPRIETARY",175442,"2012_2013"
"130","WASHINGTON BARBER COLLEGE","AR","PROPRIETARY",782240,"2012_2013"
"131","SALON PROFESSIONAL ACADEMY (THE)","AR","PROPRIETARY",534627,"2012_2013"
"132","DESIGNER BARBER & STYLIST SCHOOL","AR","PROPRIETARY",83719,"2012_2013"
"133","THUNDERBIRD SCHOOL OF GLOBAL MANAGEMENT","AZ","PRIVATE",12339811,"2012_2013"
"134","ARIZONA WESTERN COLLEGE","AZ","PUBLIC",2135812,"2012_2013"
"135","COCHISE COLLEGE","AZ","PUBLIC",1603723,"2012_2013"
"136","GRAND CANYON UNIVERSITY","AZ","PROPRIETARY",549360896,"2012_2013"
"137","GLENDALE COMMUNITY COLLEGE","AZ","PUBLIC",20532399,"2012_2013"
"138","MESA COMMUNITY COLLEGE","AZ","PUBLIC",32663344,"2012_2013"
"139","PHOENIX COLLEGE","AZ","PUBLIC",29331944,"2012_2013"
"140","YAVAPAI COLLEGE","AZ","PUBLIC",7292203,"2012_2013"
"141","ARIZONA STATE UNIVERSITY","AZ","PUBLIC",470262703,"2012_2013"
"142","NORTHERN ARIZONA UNIVERSITY","AZ","PUBLIC",160278721,"2012_2013"
"143","UNIVERSITY OF ARIZONA (THE)","AZ","PUBLIC",211204348,"2012_2013"
"144","TUCSON COLLEGE","AZ","PROPRIETARY",2533069,"2012_2013"
"145","ARIZONA CHRISTIAN UNIVERSITY","AZ","PRIVATE",3271265,"2012_2013"
"146","PIMA COUNTY COMMUNITY COLLEGE","AZ","PUBLIC",26217736,"2012_2013"
"147","CENTRAL ARIZONA COLLEGE","AZ","PUBLIC",7027181,"2012_2013"
"148","UNIVERSAL TECHNICAL INSTITUTE","AZ","PROPRIETARY",95979719,"2012_2013"
"149","GATEWAY COMMUNITY COLLEGE","AZ","PUBLIC",13857406,"2012_2013"
"150","SCOTTSDALE COMMUNITY COLLEGE","AZ","PUBLIC",9288502,"2012_2013"
"151","ARIZONA ACADEMY OF BEAUTY","AZ","PROPRIETARY",183040,"2012_2013"
"152","EMPIRE BEAUTY SCHOOL","AZ","PROPRIETARY",1657726,"2012_2013"
"153","ARIZONA AUTOMOTIVE INSTITUTE","AZ","PROPRIETARY",4675031,"2012_2013"
"154","AVALON SCHOOL OF COSMETOLOGY","AZ","PROPRIETARY",5268153,"2012_2013"
"155","REFRIGERATION SCHOOL (THE)","AZ","PROPRIETARY",4572909,"2012_2013"
"156","ARIZONA ACADEMY OF BEAUTY - NORTH","AZ","PROPRIETARY",230955,"2012_2013"
"157","EMPIRE BEAUTY SCHOOL - FLAGSTAFF","AZ","PROPRIETARY",1954038,"2012_2013"
"158","MOHAVE COMMUNITY COLLEGE","AZ","PUBLIC",8574923,"2012_2013"
"159","INTERNATIONAL ACADEMY OF HAIR DESIGN","AZ","PROPRIETARY",1776761,"2012_2013"
"160","EMPIRE BEAUTY SCHOOL","AZ","PROPRIETARY",1802586,"2012_2013"
"161","EMPIRE BEAUTY SCHOOL","AZ","PROPRIETARY",1762956,"2012_2013"
"162","PRESCOTT COLLEGE","AZ","PRIVATE",10893532,"2012_2013"
"163","KAPLAN COLLEGE","AZ","PROPRIETARY",1990809,"2012_2013"
"164","UNIVERSITY OF PHOENIX","AZ","PROPRIETARY",2436190057,"2012_2013"
"165","UNIVERSAL TECHNICAL INSTITUTE","AZ","PROPRIETARY",76993196,"2012_2013"
"166","CARRINGTON COLLEGE","AZ","PROPRIETARY",28672640,"2012_2013"
"167","ROBERTO-VENN SCHOOL OF LUTHIERY","AZ","PROPRIETARY",263426,"2012_2013"
"168","SOUTH MOUNTAIN COMMUNITY COLLEGE","AZ","PUBLIC",7572011,"2012_2013"
"169","WESTERN INTERNATIONAL UNIVERSITY","AZ","PROPRIETARY",11106699,"2012_2013"
"170","RIO SALADO COMMUNITY COLLEGE","AZ","PUBLIC",33304738,"2012_2013"
"171","AMERICAN INDIAN COLLEGE OF THE ASSEMBLIES OF GOD","AZ","PRIVATE",372507,"2012_2013"
"172","PIMA MEDICAL INSTITUTE","AZ","PROPRIETARY",71137223,"2012_2013"
"173","BROOKLINE COLLEGE","AZ","PROPRIETARY",17896489,"2012_2013"
"174","EMPIRE BEAUTY SCHOOL","AZ","PROPRIETARY",1488783,"2012_2013"
"175","ANTHEM COLLEGE","AZ","PROPRIETARY",25877907,"2012_2013"
"176","CHARLES OF ITALY BEAUTY COLLEGE","AZ","PROPRIETARY",417037,"2012_2013"
"177","EVEREST COLLEGE PHOENIX","AZ","PROPRIETARY",20687382,"2012_2013"
"178","AMERICAN INSTITUTE OF TRUCKING","AZ","PROPRIETARY",4442011,"2012_2013"
"179","SOUTHWEST UNIVERSITY OF VISUAL ARTS","AZ","PROPRIETARY",4455040,"2012_2013"
"180","LAMSON COLLEGE","AZ","PROPRIETARY",26721,"2012_2013"
"181","FRANK LLOYD WRIGHT SCHOOL OF ARCHITECTURE","AZ","PRIVATE",239472,"2012_2013"
"182","UNIVERSITY OF ADVANCING COMPUTER TECHNOLOGY","AZ","PROPRIETARY",8401204,"2012_2013"
"183","BRILLARE HAIRDRESSING ACADEMY","AZ","PROPRIETARY",1452720,"2012_2013"
"184","CORTIVA INSTITUTE - TUCSON","AZ","PROPRIETARY",1759596,"2012_2013"
"185","LE CORDON BLEU COLLEGE OF CULINARY ARTS","AZ","PROPRIETARY",26145956,"2012_2013"
"186","PARADISE VALLEY COMMUNITY COLLEGE","AZ","PUBLIC",7060218,"2012_2013"
"187","CORTIVA INSTITUTE - SCOTTSDALE","AZ","PROPRIETARY",400065,"2012_2013"
"188","SAFFORD COLLEGE OF BEAUTY CULTURE","AZ","PROPRIETARY",114808,"2012_2013"
"189","CONSERVATORY OF RECORDING ARTS & SCIENCES","AZ","PROPRIETARY",6281561,"2012_2013"
"190","CHANDLER - GILBERT COMMUNITY COLLEGE","AZ","PUBLIC",10712550,"2012_2013"
"191","BRYMAN SCHOOL OF ARIZONA (THE)","AZ","PROPRIETARY",19902810,"2012_2013"
"192","CARSTEN INSTITUTE OF COSMETOLOGY","AZ","PROPRIETARY",972099,"2012_2013"
"193","COCONINO COUNTY COMMUNITY COLLEGE","AZ","PUBLIC",3932792,"2012_2013"
"194","SOUTHWEST COLLEGE OF NATUROPATHIC MEDICINE & HEALTH SCIENCES","AZ","PRIVATE",16735055,"2012_2013"
"195","ARIZONA COLLEGE","AZ","PROPRIETARY",6023758,"2012_2013"
"196","COLLEGEAMERICA - FLAGSTAFF","AZ","PROPRIETARY",9247005,"2012_2013"
"197","ESTRELLA MOUNTAIN COMMUNITY COLLEGE","AZ","PUBLIC",16037812,"2012_2013"
"198","INTERNATIONAL BAPTIST COLLEGE & SEMINARY","AZ","PRIVATE",60909,"2012_2013"
"199","HDS TRUCK DRIVING INSTITUTE","AZ","PROPRIETARY",465570,"2012_2013"
"200","PHOENIX SEMINARY","AZ","PRIVATE",208394,"2012_2013"
"201","SOUTHWEST INSTITUTE OF HEALING ARTS","AZ","PROPRIETARY",4354788,"2012_2013"
"202","PHOENIX INSTITUTE OF HERBAL MEDICINE & ACUPUNCTURE","AZ","PROPRIETARY",1385404,"2012_2013"
"203","ARIZONA SCHOOL OF ACUPUNCTURE AND ORIENTAL MEDICINE","AZ","PROPRIETARY",728802,"2012_2013"
"204","NORTHCENTRAL UNIVERSITY","AZ","PROPRIETARY",90640012,"2012_2013"
"205","TURNING POINT BEAUTY COLLEGE","AZ","PROPRIETARY",539474,"2012_2013"
"206","ART INSTITUTE OF PHOENIX (THE)","AZ","PROPRIETARY",225473473,"2012_2013"
"207","TUCSON COLLEGE OF BEAUTY","AZ","PROPRIETARY",399910,"2012_2013"
"208","ARIZONA CULINARY INSTITUTE","AZ","PROPRIETARY",956920,"2012_2013"
"209","ARIZONA SUMMIT LAW SCHOOL","AZ","PROPRIETARY",60481818,"2012_2013"
"210","UNIVERSAL BARBER COLLEGE","AZ","PROPRIETARY",309082,"2012_2013"
"211","AMERICAN INSTITUTE OF INTERIOR DESIGN","AZ","PROPRIETARY",119558,"2012_2013"
"212","STUDIO ACADEMY OF BEAUTY (THE)","AZ","PROPRIETARY",1693770,"2012_2013"
"213","NATIONAL PARALEGAL COLLEGE","AZ","PROPRIETARY",6251843,"2012_2013"
"214","CCIC BEAUTY COLLEGE","AZ","PROPRIETARY",72445,"2012_2013"
"215","PAUL MITCHELL THE SCHOOL PHOENIX","AZ","PROPRIETARY",1361934,"2012_2013"
"216","ALL BEAUTY COLLEGE","AZ","PROPRIETARY",501656,"2012_2013"
"217","PENROSE ACADEMY","AZ","PROPRIETARY",1385069,"2012_2013"
"218","PURE AESTHETICS","AZ","PROPRIETARY",174616,"2012_2013"
"219","CLASSIC COOKING ACADEMY","AZ","PRIVATE",17935,"2012_2013"
"220","AVEDA INSTITUTE TUCSON","AZ","PROPRIETARY",724572,"2012_2013"
"221","SESSIONS COLLEGE FOR PROFESSIONAL DESIGN","AZ","PROPRIETARY",73905,"2012_2013"
"222","ALLAN HANCOCK COLLEGE","CA","PUBLIC",1832181,"2012_2013"
"223","ANTELOPE VALLEY COLLEGE","CA","PUBLIC",18564368,"2012_2013"
"224","ART CENTER COLLEGE OF DESIGN","CA","PRIVATE",21356494,"2012_2013"
"225","AZUSA PACIFIC UNIVERSITY","CA","PRIVATE",115067394,"2012_2013"
"226","BAKERSFIELD COLLEGE","CA","PUBLIC",4237413,"2012_2013"
"227","AMERICAN BAPTIST SEMINARY OF THE WEST","CA","PRIVATE",612434,"2012_2013"
"228","BIOLA UNIVERSITY","CA","PRIVATE",38893415,"2012_2013"
"229","BROOKS INSTITUTE","CA","PROPRIETARY",9168831,"2012_2013"
"230","CABRILLO COLLEGE","CA","PUBLIC",3513657,"2012_2013"
"231","CALIFORNIA BAPTIST UNIVERSITY","CA","PRIVATE",70322215,"2012_2013"
"232","CALIFORNIA COLLEGE OF THE ARTS","CA","PRIVATE",18872828,"2012_2013"
"233","CALIFORNIA INSTITUTE OF TECHNOLOGY","CA","PRIVATE",894436,"2012_2013"
"234","CALIFORNIA INSTITUTE OF THE ARTS","CA","PRIVATE",18522659,"2012_2013"
"235","CALIFORNIA LUTHERAN UNIVERSITY","CA","PRIVATE",34146022,"2012_2013"
"236","CALIFORNIA MARITIME ACADEMY","CA","PUBLIC",7254512,"2012_2013"
"237","CALIFORNIA STATE UNIVERSITY, FULLERTON","CA","PUBLIC",107506938,"2012_2013"
"238","CALIFORNIA STATE UNIVERSITY, EAST BAY","CA","PUBLIC",62469735,"2012_2013"
"239","CALIFORNIA STATE UNIVERSITY, LONG BEACH","CA","PUBLIC",119927146,"2012_2013"
"240","CALIFORNIA STATE UNIVERSITY, LOS ANGELES","CA","PUBLIC",72531584,"2012_2013"
"241","CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS","CA","PUBLIC",62257432,"2012_2013"
"242","CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO","CA","PUBLIC",73941389,"2012_2013"
"243","CALIFORNIA POLYTECHNIC STATE UNIVERSITY","CA","PUBLIC",74495122,"2012_2013"
"244","CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA","CA","PUBLIC",64667636,"2012_2013"
"245","CALIFORNIA STATE UNIVERSITY, CHICO","CA","PUBLIC",54921205,"2012_2013"
"246","CALIFORNIA STATE UNIVERSITY, FRESNO","CA","PUBLIC",67079486,"2012_2013"
"247","HUMBOLDT STATE UNIVERSITY","CA","PUBLIC",37142020,"2012_2013"
"248","CALIFORNIA STATE UNIVERSITY - SACRAMENTO","CA","PUBLIC",109932751,"2012_2013"
"249","SAN DIEGO STATE UNIVERSITY","CA","PUBLIC",118719173,"2012_2013"
"250","CALIFORNIA STATE UNIVERSITY, NORTHRIDGE","CA","PUBLIC",127469534,"2012_2013"
"251","SAN FRANCISCO STATE UNIVERSITY","CA","PUBLIC",120730803,"2012_2013"
"252","SAN JOSE STATE UNIVERSITY","CA","PUBLIC",103683281,"2012_2013"
"253","SONOMA STATE UNIVERSITY","CA","PUBLIC",40829491,"2012_2013"
"254","CALIFORNIA STATE UNIVERSITY, STANISLAUS","CA","PUBLIC",35031078,"2012_2013"
"255","CERRITOS COMMUNITY COLLEGE","CA","PUBLIC",4123690,"2012_2013"
"256","CHABOT COLLEGE","CA","PUBLIC",1940289,"2012_2013"
"257","CHAPMAN UNIVERSITY","CA","PRIVATE",81220338,"2012_2013"
"258","CHURCH DIVINITY SCHOOL OF THE PACIFIC","CA","PRIVATE",595496,"2012_2013"
"259","CITRUS COMMUNITY COLLEGE","CA","PUBLIC",2236597,"2012_2013"
"260","CLAREMONT GRADUATE UNIVERSITY","CA","PRIVATE",36132578,"2012_2013"
"261","CLAREMONT MCKENNA COLLEGE","CA","PRIVATE",1866518,"2012_2013"
"262","HARVEY MUDD COLLEGE","CA","PRIVATE",3279746,"2012_2013"
"263","PITZER COLLEGE","CA","PRIVATE",2861434,"2012_2013"
"264","POMONA COLLEGE","CA","PRIVATE",1641902,"2012_2013"
"265","SCRIPPS COLLEGE","CA","PRIVATE",2386952,"2012_2013"
"266","WEST HILLS COMMUNITY COLLEGE","CA","PUBLIC",1213870,"2012_2013"
"267","COGSWELL POLYTECHNICAL COLLEGE","CA","PROPRIETARY",4113071,"2012_2013"
"268","COLLEGE OF MARIN","CA","PUBLIC",5048680,"2012_2013"
"269","NOTRE DAME DE NAMUR UNIVERSITY","CA","PRIVATE",21867762,"2012_2013"
"270","COLLEGE OF SAN MATEO","CA","PUBLIC",415092,"2012_2013"
"271","COLLEGE OF THE DESERT","CA","PUBLIC",2068753,"2012_2013"
"272","HOLY NAMES UNIVERSITY","CA","PRIVATE",14388908,"2012_2013"
"273","COLLEGE OF THE REDWOODS","CA","PUBLIC",1873495,"2012_2013"
"274","COLLEGE OF THE SEQUOIAS","CA","PUBLIC",982312,"2012_2013"
"275","COLLEGE OF THE SISKIYOUS","CA","PUBLIC",3339947,"2012_2013"
"276","CONTRA COSTA COLLEGE","CA","PUBLIC",971981,"2012_2013"
"277","DIABLO VALLEY COLLEGE","CA","PUBLIC",1050183,"2012_2013"
"278","CUESTA COLLEGE","CA","PUBLIC",3227460,"2012_2013"
"279","CYPRESS COLLEGE","CA","PUBLIC",2308813,"2012_2013"
"280","DOMINICAN UNIVERSITY OF CALIFORNIA","CA","PRIVATE",22079479,"2012_2013"
"281","EL CAMINO COLLEGE","CA","PUBLIC",2194496,"2012_2013"
"282","FOOTHILL COLLEGE","CA","PUBLIC",4645017,"2012_2013"
"283","FULLER THEOLOGICAL SEMINARY","CA","PRIVATE",20473584,"2012_2013"
"284","FULLERTON COLLEGE","CA","PUBLIC",3006213,"2012_2013"
"285","GAVILAN COLLEGE","CA","PUBLIC",1027109,"2012_2013"
"286","GLENDALE COMMUNITY COLLEGE","CA","PUBLIC",4034543,"2012_2013"
"287","GOLDEN GATE UNIVERSITY","CA","PRIVATE",48977652,"2012_2013"
"288","GOLDEN WEST COLLEGE","CA","PUBLIC",1795343,"2012_2013"
"289","GRADUATE THEOLOGICAL UNION","CA","PRIVATE",2086724,"2012_2013"
"290","GROSSMONT COLLEGE","CA","PUBLIC",1568748,"2012_2013"
"291","HUMPHREYS COLLEGE","CA","PRIVATE",11659229,"2012_2013"
"292","LA SIERRA UNIVERSITY","CA","PRIVATE",17792926,"2012_2013"
"293","UNIVERSITY OF LA VERNE","CA","PRIVATE",80743942,"2012_2013"
"294","LASSEN COLLEGE","CA","PUBLIC",675883,"2012_2013"
"295","LOMA LINDA UNIVERSITY","CA","PRIVATE",116417789,"2012_2013"
"296","LONG BEACH CITY COLLEGE","CA","PUBLIC",7073822,"2012_2013"
