"","School","State","School.Type","Total.Disbursements","Year"
"1","ALASKA PACIFIC UNIVERSITY","AK","PRIVATE",4233668,"2012_2013"
"2","UNIVERSITY OF ALASKA FAIRBANKS","AK","PUBLIC",22653210,"2012_2013"
"3","UNIVERSITY OF ALASKA SOUTHEAST","AK","PUBLIC",6612116,"2012_2013"
"4","ALASKA BIBLE COLLEGE","AK","PRIVATE",86618,"2012_2013"
"5","UNIVERSITY OF ALASKA ANCHORAGE","AK","PUBLIC",45991307,"2012_2013"
"6","ALASKA CAREER COLLEGE","AK","PROPRIETARY",3005523,"2012_2013"
"7","CHARTER COLLEGE","AK","PROPRIETARY",24946705,"2012_2013"
"8","AVTEC - ALASKA'S INSTITUTE OF TECHNOLOGY","AK","PUBLIC",377008,"2012_2013"
"9","ALASKA CHRISTIAN COLLEGE","AK","PRIVATE",177137,"2012_2013"
"10","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","AL","PUBLIC",44120466,"2012_2013"
"11","FAULKNER UNIVERSITY","AL","PRIVATE",36073930,"2012_2013"
"12","UNIVERSITY OF MONTEVALLO","AL","PUBLIC",16491434,"2012_2013"
"13","ALABAMA STATE UNIVERSITY","AL","PUBLIC",49788516,"2012_2013"
"14","CENTRAL ALABAMA COMMUNITY COLLEGE","AL","PUBLIC",6301497,"2012_2013"
"15","ATHENS STATE UNIVERSITY","AL","PUBLIC",13709627,"2012_2013"
"16","AUBURN UNIVERSITY","AL","PUBLIC",125902239,"2012_2013"
"17","BIRMINGHAM-SOUTHERN COLLEGE","AL","PRIVATE",5900096,"2012_2013"
"18","CALHOUN COMMUNITY COLLEGE","AL","PUBLIC",18558994,"2012_2013"
"19","ENTERPRISE STATE COMMUNITY COLLEGE","AL","PUBLIC",3489234,"2012_2013"
"20","UNIVERSITY OF NORTH ALABAMA","AL","PUBLIC",27068172,"2012_2013"
"21","HUNTINGDON COLLEGE","AL","PRIVATE",7585801,"2012_2013"
"22","JACKSONVILLE STATE UNIVERSITY","AL","PUBLIC",49858681,"2012_2013"
"23","JEFFERSON STATE COMMUNITY COLLEGE","AL","PUBLIC",9618917,"2012_2013"
"24","JUDSON COLLEGE","AL","PRIVATE",2250438,"2012_2013"
"25","UNIVERSITY OF WEST ALABAMA","AL","PUBLIC",51303751,"2012_2013"
"26","MARION MILITARY INSTITUTE","AL","PUBLIC",1437995,"2012_2013"
"27","MILES COLLEGE","AL","PRIVATE",14059571,"2012_2013"
"28","UNIVERSITY OF MOBILE","AL","PRIVATE",13774011,"2012_2013"
"29","NORTHEAST ALABAMA COMMUNITY COLLEGE","AL","PUBLIC",1659444,"2012_2013"
