"","School","State","School.Type","Total.Disbursements","Year"
"1","Alaska Bible College","AK","Private/Non-profit",0,"2010-11"
"2","Alaska Christian College","AK","Private/Non-profit",10000,"2010-11"
"3","Alaska Pacific University","AK","Private/Non-profit",135451,"2010-11"
"4","Charter College","AK","Proprietary",333323,"2010-11"
"5","Ilisagvik College","AK","Public",47481,"2010-11"
"6","University of Alaska Anchorage","AK","Public",848628,"2010-11"
"7","University of Alaska Fairbanks","AK","Public",673302,"2010-11"
"8","University of Alaska Southeast","AK","Public",128253,"2010-11"
"9","Alabama Agricultural & Mechanical University","AL","Public",892053,"2010-11"
"10","Alabama Southern Community College","AL","Public",77136,"2010-11"
"11","Alabama State University","AL","Public",2016700,"2010-11"
"12","Amridge University","AL","Private/Non-profit",17452,"2010-11"
"13","Athens State University","AL","Public",142328,"2010-11"
"14","Auburn University","AL","Public",3179058,"2010-11"
"15","Auburn University Montgomery","AL","Public",593625,"2010-11"
"16","Bevill State Community College","AL","Public",266037,"2010-11"
"17","Birmingham Southern College","AL","Private/Non-profit",819762,"2010-11"
"18","Bishop State Community College","AL","Public",305475,"2010-11"
"19","Blue Cliff Career College","AL","Proprietary",0,"2010-11"
"20","Calhoun Community College","AL","Public",478082,"2010-11"
"21","Central Alabama Community College","AL","Public",137117,"2010-11"
"22","Chattahoochee Valley Community College","AL","Public",150708,"2010-11"
"23","Columbia Southern University","AL","Proprietary",66667,"2010-11"
"24","Concordia College","AL","Private/Non-profit",87841,"2010-11"
"25","Enterprise State Community College","AL","Public",146671,"2010-11"
"26","Faulkner University","AL","Private/Non-profit",557229,"2010-11"
"27","Fortis College","AL","Proprietary",276203,"2010-11"
"28","Fortis College","AL","Proprietary",73950,"2010-11"
"29","Gadsden State Community College","AL","Public",271455,"2010-11"
"30","George C. Wallace Community College","AL","Public",223640,"2010-11"
"31","George C. Wallace State Community College","AL","Public",300137,"2010-11"
"32","George Corley Wallace State Community College - Selma","AL","Public",178490,"2010-11"
"33","H. Councill Trenholm State Technical College","AL","Public",130188,"2010-11"
"34","Heritage Christian University","AL","Private/Non-profit",14096,"2010-11"
"35","Herzing University","AL","Proprietary",107067,"2010-11"
"36","Huntingdon College","AL","Private/Non-profit",294304,"2010-11"
"37","J F Drake State Technical College","AL","Public",75008,"2010-11"
"38","Jacksonville State University","AL","Public",690996,"2010-11"
"39","James H. Faulkner State Community College","AL","Public",151926,"2010-11"
"40","Jefferson Davis Community College","AL","Public",67570,"2010-11"
"41","Jefferson State Community College","AL","Public",720858,"2010-11"
"42","Judson College","AL","Private/Non-profit",104354,"2010-11"
"43","Lawson State Community College","AL","Public",299283,"2010-11"
"44","Lurleen B. Wallace Community College","AL","Public",192924,"2010-11"
"45","Marion Military Institute","AL","Public",48038,"2010-11"
"46","Miles College","AL","Private/Non-profit",579708,"2010-11"
"47","Northeast Alabama Community College","AL","Public",117465,"2010-11"
"48","Northwest - Shoals Community College","AL","Public",143186,"2010-11"
"49","Oakwood University","AL","Private/Non-profit",483794,"2010-11"
"50","Reid State Technical College","AL","Public",93070,"2010-11"
"51","Remington College - Mobile Campus","AL","Proprietary",386440,"2010-11"
"52","Samford University","AL","Private/Non-profit",1001146,"2010-11"
"53","Selma University","AL","Private/Non-profit",0,"2010-11"
"54","Shelton State Community College","AL","Public",312859,"2010-11"
"55","Snead State Community College","AL","Public",192238,"2010-11"
"56","Southeastern Bible College","AL","Private/Non-profit",33798,"2010-11"
"57","Southern Union State Community College","AL","Public",214526,"2010-11"
"58","Spring Hill College","AL","Private/Non-profit",630233,"2010-11"
"59","Stillman College","AL","Private/Non-profit",534541,"2010-11"
"60","Talladega College","AL","Private/Non-profit",484739,"2010-11"
"61","Troy University","AL","Public",1865364,"2010-11"
"62","Tuskegee University","AL","Private/Non-profit",3490143,"2010-11"
"63","United States Sports Academy","AL","Private/Non-profit",36000,"2010-11"
"64","University of Alabama","AL","Public",4343893,"2010-11"
"65","University of Alabama at Birmingham","AL","Public",3979485,"2010-11"
"66","University of Alabama in Huntsville","AL","Public",391803,"2010-11"
"67","University of Mobile","AL","Private/Non-profit",260812,"2010-11"
"68","University of Montevallo","AL","Public",295524,"2010-11"
"69","University of North Alabama","AL","Public",483851,"2010-11"
"70","University of South Alabama","AL","Public",798324,"2010-11"
"71","University of West Alabama","AL","Public",524136,"2010-11"
"72","Virginia College","AL","Proprietary",2509572,"2010-11"
"73","Xcell Academy-A Paul Mitchell Partner School","AL","Proprietary",0,"2010-11"
"74","Arkansas Baptist College","AR","Private/Non-profit",90002,"2010-11"
"75","Arkansas Northeastern College","AR","Public",70880,"2010-11"
"76","Arkansas State University","AR","Public",1749508,"2010-11"
"77","Arkansas State University - Beebe","AR","Public",55539,"2010-11"
"78","Arkansas Tech University","AR","Public",539256,"2010-11"
"79","Central Baptist College","AR","Private/Non-profit",7248,"2010-11"
"80","College of the Ouachitas","AR","Public",72018,"2010-11"
"81","Cossatot Community College of the University of Arkansas","AR","Public",55965,"2010-11"
"82","Crowley's Ridge College","AR","Private/Non-profit",22180,"2010-11"
"83","East Arkansas Community College","AR","Public",132927,"2010-11"
"84","Ecclesia College","AR","Private/Non-profit",269403,"2010-11"
"85","Harding University","AR","Private/Non-profit",1332410,"2010-11"
"86","Henderson State University","AR","Public",454238,"2010-11"
"87","Hendrix College","AR","Private/Non-profit",564373,"2010-11"
"88","John Brown University","AR","Private/Non-profit",524569,"2010-11"
"89","Lyon College","AR","Private/Non-profit",193898,"2010-11"
"90","Margaret's Hair Academy","AR","Proprietary",6300,"2010-11"
"91","Mid-South Community College","AR","Public",144761,"2010-11"
"92","National Park Community College","AR","Public",216972,"2010-11"
"93","North Arkansas College","AR","Public",168110,"2010-11"
"94","NorthWest Arkansas Community College","AR","Public",321946,"2010-11"
"95","Ouachita Baptist University","AR","Private/Non-profit",708191,"2010-11"
"96","Ozarka College","AR","Public",80000,"2010-11"
"97","Philander Smith College","AR","Private/Non-profit",197154,"2010-11"
"98","Phillips Community College of the University of Arkansas","AR","Public",167057,"2010-11"
"99","Pulaski Technical College","AR","Public",343980,"2010-11"
"100","Rich Mountain Community College","AR","Public",48382,"2010-11"
"101","South Arkansas Community College","AR","Public",132003,"2010-11"
"102","Southeast Arkansas College","AR","Public",214669,"2010-11"
"103","Southern Arkansas University","AR","Public",975263,"2010-11"
"104","Southern Arkansas University Tech","AR","Public",85899,"2010-11"
"105","University of Arkansas","AR","Public",4163548,"2010-11"
"106","University of Arkansas at Fort Smith","AR","Public",190373,"2010-11"
"107","University of Arkansas at Little Rock","AR","Public",651579,"2010-11"
"108","University of Arkansas at Monticello","AR","Public",315961,"2010-11"
"109","University of Arkansas at Pine Bluff","AR","Public",698339,"2010-11"
"110","University of Arkansas Community College at Batesville","AR","Public",114078,"2010-11"
"111","University of Arkansas Community College at Hope","AR","Public",152746,"2010-11"
"112","University of Arkansas Community College at Morrilton","AR","Public",83778,"2010-11"
"113","University of Arkansas for Medical Sciences","AR","Public",255489,"2010-11"
"114","University of Central Arkansas","AR","Public",1527090,"2010-11"
"115","University of the Ozarks","AR","Private/Non-profit",168760,"2010-11"
"116","Williams Baptist College","AR","Private/Non-profit",297527,"2010-11"
"117","American Samoa Community College","AS","Public",141488,"2010-11"
"118","American Indian College of the Assemblies of God","AZ","Private/Non-profit",8051,"2010-11"
"119","Anthem College","AZ","Proprietary",1582406,"2010-11"
"120","Arizona Academy of Beauty","AZ","Proprietary",6000,"2010-11"
"121","Arizona Academy of Beauty - North","AZ","Proprietary",6934,"2010-11"
"122","Arizona Automotive Institute","AZ","Proprietary",352100,"2010-11"
"123","Arizona Christian University","AZ","Private/Non-profit",57640,"2010-11"
"124","Arizona College of Allied Health","AZ","Proprietary",79166,"2010-11"
"125","Arizona School of Acupuncture and Oriental Medicine","AZ","Proprietary",0,"2010-11"
"126","Arizona State University","AZ","Public",8073546,"2010-11"
"127","Arizona Western College","AZ","Public",630948,"2010-11"
"128","Art Institute of Phoenix (The)","AZ","Proprietary",4744144,"2010-11"
"129","Avalon School of Cosmetology","AZ","Proprietary",0,"2010-11"
"130","Brookline College","AZ","Proprietary",248178,"2010-11"
"131","Carrington College","AZ","Proprietary",702994,"2010-11"
"132","Central Arizona College","AZ","Public",212717,"2010-11"
"133","Chandler - Gilbert Community College","AZ","Public",282841,"2010-11"
"134","Cochise College","AZ","Public",151253,"2010-11"
"135","Coconino County Community College","AZ","Public",240812,"2010-11"
"136","CollegeAmerica - Flagstaff","AZ","Proprietary",118301,"2010-11"
"137","Conservatory of Recording Arts & Sciences","AZ","Proprietary",67959,"2010-11"
"138","Cortiva Institute - Scottsdale","AZ","Proprietary",13667,"2010-11"
"139","Cortiva Institute - Tucson","AZ","Proprietary",26562,"2010-11"
"140","Dine College","AZ","Public",165609,"2010-11"
"141","East Valley Institute of Technology","AZ","Public",11354,"2010-11"
"142","Eastern Arizona College","AZ","Public",334394,"2010-11"
"143","Estrella Mountain Community College","AZ","Public",370079,"2010-11"
"144","Everest College Phoenix","AZ","Proprietary",171807,"2010-11"
"145","GateWay Community College","AZ","Public",284298,"2010-11"
"146","Glendale Community College","AZ","Public",953501,"2010-11"
"147","Grand Canyon University","AZ","Proprietary",2229225,"2010-11"
"148","International Academy of Hair Design","AZ","Proprietary",14386,"2010-11"
"149","International Baptist College","AZ","Private/Non-profit",6656,"2010-11"
"150","Kaplan College","AZ","Proprietary",144883,"2010-11"
"151","Lamson College","AZ","Proprietary",74323,"2010-11"
"152","Le Cordon Bleu College of Culinary Arts","AZ","Proprietary",835508,"2010-11"
"153","Mesa Community College","AZ","Public",1188935,"2010-11"
"154","Mohave Community College","AZ","Public",380894,"2010-11"
"155","Northern Arizona University","AZ","Public",2470893,"2010-11"
"156","Northland Pioneer College","AZ","Public",132287,"2010-11"
"157","Paradise Valley Community College","AZ","Public",256267,"2010-11"
"158","Phoenix College","AZ","Public",851655,"2010-11"
"159","Phoenix School of Law","AZ","Proprietary",0,"2010-11"
"160","Pima County Community College","AZ","Public",871283,"2010-11"
"161","Pima Medical Institute","AZ","Proprietary",797320,"2010-11"
"162","Prescott College","AZ","Private/Non-profit",181594,"2010-11"
"163","Refrigeration School (The)","AZ","Proprietary",58167,"2010-11"
"164","Rio Salado Community College","AZ","Public",118750,"2010-11"
"165","Scottsdale Community College","AZ","Public",252772,"2010-11"
"166","South Mountain Community College","AZ","Public",185331,"2010-11"
"167","Southwest College of Naturopathic Medicine & Health Sciences","AZ","Private/Non-profit",60506,"2010-11"
"168","Southwest Institute of Healing Arts","AZ","Proprietary",34468,"2010-11"
"169","Southwest University of Visual Arts","AZ","Proprietary",239466,"2010-11"
"170","Thunderbird School of Global Management","AZ","Private/Non-profit",803467,"2010-11"
"171","Tohono O'odham Community College","AZ","Public",5000,"2010-11"
"172","Tucson College","AZ","Proprietary",95204,"2010-11"
"173","Universal Technical Institute","AZ","Proprietary",1746688,"2010-11"
"174","Universal Technical Institute","AZ","Proprietary",1371693,"2010-11"
"175","University of Advancing Computer Technology","AZ","Proprietary",272145,"2010-11"
"176","University of Arizona (The)","AZ","Public",4086058,"2010-11"
"177","University of Phoenix","AZ","Proprietary",7015435,"2010-11"
"178","Western International University","AZ","Proprietary",115520,"2010-11"
"179","Yavapai College","AZ","Public",244772,"2010-11"
"180","A - Technical College","CA","Proprietary",7895,"2010-11"
"181","Abram Friedman Occupational Center","CA","Public",32444,"2010-11"
"182","Academy for Salon Professionals","CA","Proprietary",0,"2010-11"
"183","Academy of Art University","CA","Proprietary",1469436,"2010-11"
"184","Academy of Barbering Arts (The)","CA","Proprietary",12208,"2010-11"
"185","Academy of Chinese Culture and Health Sciences","CA","Private/Non-profit",32948,"2010-11"
"186","Academy of Couture Art","CA","Proprietary",0,"2010-11"
"187","Academy of Esthetics and Cosmetology","CA","Proprietary",0,"2010-11"
"188","Academy of Radio & TV Broadcasting","CA","Proprietary",11715,"2010-11"
"189","Acupuncture and Integrative Medicine College, Berkeley","CA","Private/Non-profit",38346,"2010-11"
"190","Adrians Beauty College of Turlock","CA","Proprietary",8744,"2010-11"
"191","Advanced College","CA","Proprietary",32126,"2010-11"
"192","Advanced Training Associates","CA","Proprietary",8425,"2010-11"
"193","Alhambra Beauty College","CA","Proprietary",9516,"2010-11"
"194","Allan Hancock College","CA","Public",246451,"2010-11"
"195","Alliant International University","CA","Private/Non-profit",1493996,"2010-11"
"196","American Beauty College","CA","Proprietary",8036,"2010-11"
"197","American Career College","CA","Proprietary",812876,"2010-11"
"198","American Career College","CA","Proprietary",210815,"2010-11"
"199","American College of Healthcare","CA","Proprietary",0,"2010-11"
"200","American College of Traditional Chinese Medicine","CA","Private/Non-profit",84855,"2010-11"
"201","American Conservatory Theater Foundation","CA","Private/Non-profit",36454,"2010-11"
"202","American Jewish University","CA","Private/Non-profit",59878,"2010-11"
"203","American Medical Sciences Center","CA","Proprietary",0,"2010-11"
"204","American River College","CA","Public",3143598,"2010-11"
"205","American University of Health Sciences","CA","Proprietary",8671,"2010-11"
"206","Antelope Valley College","CA","Public",665155,"2010-11"
"207","Argosy University","CA","Proprietary",2134179,"2010-11"
"208","Art Center College of Design","CA","Private/Non-profit",898038,"2010-11"
"209","Art Institute of California - Los Angeles (The)","CA","Proprietary",1904287,"2010-11"
"210","Art Institute of California - San Diego","CA","Proprietary",1141480,"2010-11"
"211","Art Institute of California-Hollywood (The)","CA","Proprietary",413878,"2010-11"
"212","Asian - American International Beauty College","CA","Proprietary",12925,"2010-11"
"213","Associated Technical College","CA","Proprietary",86900,"2010-11"
"214","Associated Technical College","CA","Proprietary",98327,"2010-11"
"215","Associated Technical College","CA","Proprietary",0,"2010-11"
"216","ATI College","CA","Proprietary",26247,"2010-11"
"217","Avance' Beauty College","CA","Proprietary",7976,"2010-11"
"218","Azusa Pacific University","CA","Private/Non-profit",1804785,"2010-11"
"219","Bakersfield College","CA","Public",929079,"2010-11"
"220","Barstow Community College","CA","Public",207370,"2010-11"
"221","Bellus Academy","CA","Proprietary",20387,"2010-11"
"222","Bellus Academy, The Academy of Beauty and Spa","CA","Proprietary",22737,"2010-11"
"223","Berkeley City College","CA","Public",210331,"2010-11"
"224","Bethany University of the Assemblies of God","CA","Private/Non-profit",92083,"2010-11"
"225","Bethesda University of California","CA","Private/Non-profit",0,"2010-11"
"226","Beyond 21st Century Beauty Academy","CA","Proprietary",0,"2010-11"
"227","BioHealth College","CA","Proprietary",15567,"2010-11"
"228","Biola University","CA","Private/Non-profit",1330996,"2010-11"
"229","Blake Austin College","CA","Proprietary",34437,"2010-11"
"230","Brandman University","CA","Private/Non-profit",480465,"2010-11"
"231","Brooks Institute","CA","Proprietary",215533,"2010-11"
"232","Brownson Technical School","CA","Proprietary",20067,"2010-11"
"233","Bryan College","CA","Private/Non-profit",37050,"2010-11"
"234","Bryan College","CA","Proprietary",62612,"2010-11"
"235","Butte College","CA","Public",591577,"2010-11"
"236","Cabrillo College","CA","Public",572582,"2010-11"
"237","California Baptist University","CA","Private/Non-profit",761783,"2010-11"
"238","California Career College","CA","Proprietary",16735,"2010-11"
"239","California Career School","CA","Proprietary",0,"2010-11"
"240","California Christian College","CA","Private/Non-profit",11078,"2010-11"
"241","California College of the Arts","CA","Private/Non-profit",1201894,"2010-11"
"242","California College San Diego","CA","Proprietary",278443,"2010-11"
"243","California Culinary Academy","CA","Proprietary",199650,"2010-11"
"244","California Hair Design Academy","CA","Proprietary",14713,"2010-11"
"245","California Healing Arts College","CA","Proprietary",9674,"2010-11"
"246","California Institute of Integral Studies","CA","Private/Non-profit",380879,"2010-11"
"247","California Institute of Technology","CA","Private/Non-profit",1761615,"2010-11"
"248","California Institute of the Arts","CA","Private/Non-profit",1191048,"2010-11"
"249","California Lutheran University","CA","Private/Non-profit",768884,"2010-11"
"250","California Maritime Academy","CA","Public",417264,"2010-11"
"251","California Polytechnic State University","CA","Public",1806836,"2010-11"
"252","California State Polytechnic University, Pomona","CA","Public",1667089,"2010-11"
"253","California State University - Sacramento","CA","Public",2536587,"2010-11"
"254","California State University Channel Islands","CA","Public",152118,"2010-11"
"255","California State University, Bakersfield","CA","Public",669026,"2010-11"
"256","California State University, Chico","CA","Public",3217923,"2010-11"
"257","California State University, Dominguez Hills","CA","Public",1168583,"2010-11"
"258","California State University, East Bay","CA","Public",2212446,"2010-11"
"259","California State University, Fresno","CA","Public",1702419,"2010-11"
"260","California State University, Fullerton","CA","Public",2213147,"2010-11"
"261","California State University, Long Beach","CA","Public",3740946,"2010-11"
"262","California State University, Los Angeles","CA","Public",1623352,"2010-11"
"263","California State University, Monterey Bay","CA","Public",194457,"2010-11"
"264","California State University, Northridge","CA","Public",2713160,"2010-11"
"265","California State University, San Bernardino","CA","Public",1550979,"2010-11"
"266","California State University, San Marcos","CA","Public",533301,"2010-11"
"267","California State University, Stanislaus","CA","Public",787366,"2010-11"
"268","California Western School of Law","CA","Private/Non-profit",895092,"2010-11"
"269","Cambridge Junior College","CA","Proprietary",22664,"2010-11"
"270","Canada College","CA","Public",167138,"2010-11"
"271","Capstone College","CA","Proprietary",26361,"2010-11"
"272","Career Academy of Beauty","CA","Proprietary",16275,"2010-11"
"273","Career College Consultants","CA","Proprietary",0,"2010-11"
"274","Career College of California","CA","Proprietary",0,"2010-11"
"275","Career College of San Diego","CA","Proprietary",13525,"2010-11"
"276","Career Colleges of America","CA","Proprietary",359531,"2010-11"
"277","Career Development Institute","CA","Proprietary",0,"2010-11"
"278","Career Networks Institute","CA","Proprietary",89921,"2010-11"
"279","Carrington College California","CA","Proprietary",1183164,"2010-11"
"280","Casa Loma College","CA","Private/Non-profit",222044,"2010-11"
"281","Center for Employment Training","CA","Private/Non-profit",492590,"2010-11"
"282","Central Coast College","CA","Proprietary",47380,"2010-11"
"283","Cerritos Community College","CA","Public",689717,"2010-11"
"284","Chabot College","CA","Public",350042,"2010-11"
"285","Chaffey Community College","CA","Public",705396,"2010-11"
"286","Chapman University","CA","Private/Non-profit",2697042,"2010-11"
"287","Charles Drew University of Medicine and Science","CA","Private/Non-profit",91693,"2010-11"
"288","Charter College","CA","Proprietary",185233,"2010-11"
"289","Church Divinity School of the Pacific","CA","Private/Non-profit",21630,"2010-11"
"290","Citrus Community College","CA","Public",462556,"2010-11"
"291","City College of San Francisco","CA","Public",1766152,"2010-11"
"292","Claremont Graduate University","CA","Private/Non-profit",728431,"2010-11"
"293","Claremont McKenna College","CA","Private/Non-profit",684189,"2010-11"
"294","Claremont School of Theology","CA","Private/Non-profit",129588,"2010-11"
"295","Cleveland Chiropractic College","CA","Private/Non-profit",226421,"2010-11"
"296","Coast Career Institute","CA","Proprietary",12950,"2010-11"
"297","Coastline Beauty College","CA","Proprietary",27027,"2010-11"
"298","Cogswell Polytechnical College","CA","Proprietary",53671,"2010-11"
"299","Coleman University","CA","Private/Non-profit",166368,"2010-11"
"300","Colleen O'Hara's Beauty Academy","CA","Proprietary",26696,"2010-11"
"301","College of Alameda","CA","Public",341563,"2010-11"
"302","College of Marin","CA","Public",463070,"2010-11"
"303","College of San Mateo","CA","Public",427969,"2010-11"
"304","College of the Canyons","CA","Public",325617,"2010-11"
"305","College of the Desert","CA","Public",267872,"2010-11"
"306","College of the Redwoods","CA","Public",346866,"2010-11"
"307","College of the Sequoias","CA","Public",556838,"2010-11"
"308","College of the Siskiyous","CA","Public",137637,"2010-11"
"309","Columbia College","CA","Public",105933,"2010-11"
"310","Columbia College - Hollywood","CA","Private/Non-profit",70601,"2010-11"
"311","Community Based Education and Development","CA","Private/Non-profit",67111,"2010-11"
"312","Community Christian College","CA","Private/Non-profit",12492,"2010-11"
"313","Community Enhancement Services","CA","Private/Non-profit",15600,"2010-11"
"314","Concorde Career College","CA","Proprietary",120783,"2010-11"
"315","Concorde Career College","CA","Proprietary",204458,"2010-11"
"316","Concorde Career College","CA","Proprietary",128631,"2010-11"
"317","Concorde Career College","CA","Proprietary",133467,"2010-11"
"318","Concordia University","CA","Private/Non-profit",298053,"2010-11"
"319","Contra Costa College","CA","Public",272450,"2010-11"
"320","Copper Mountain College","CA","Public",287459,"2010-11"
"321","Crimson Technical College","CA","Proprietary",127675,"2010-11"
"322","CR'U Institute of Cosmetology & Barbering","CA","Proprietary",8100,"2010-11"
"323","Cuesta College","CA","Public",182670,"2010-11"
"324","Cuyamaca College","CA","Public",297874,"2010-11"
"325","Cypress College","CA","Public",330371,"2010-11"
"326","David's Academy of Beauty","CA","Proprietary",26883,"2010-11"
"327","De Anza Community College","CA","Public",864873,"2010-11"
"328","Design Institute of San Diego","CA","Proprietary",68499,"2010-11"
"329","Design's School of Cosmetology","CA","Proprietary",14136,"2010-11"
"330","Diablo Valley College","CA","Public",345586,"2010-11"
"331","Dominican University of California","CA","Private/Non-profit",823671,"2010-11"
"332","Dongguk University Los Angeles","CA","Private/Non-profit",6750,"2010-11"
"333","East Los Angeles College","CA","Public",791365,"2010-11"
"334","East San Gabriel Valley ROP and Technical Center","CA","Public",0,"2010-11"
"335","El Camino College","CA","Public",1152556,"2010-11"
"336","Elegance International","CA","Proprietary",20435,"2010-11"
"337","Elite Beauty College","CA","Proprietary",0,"2010-11"
"338","Empire College","CA","Proprietary",100338,"2010-11"
"339","English Center (The)","CA","Private/Non-profit",24852,"2010-11"
"340","Epic Bible College","CA","Private/Non-profit",51154,"2010-11"
"341","Estes Institute of Cosmetology Arts & Sciences","CA","Proprietary",9768,"2010-11"
"342","Everest College","CA","Proprietary",76472,"2010-11"
"343","Everest College","CA","Proprietary",206757,"2010-11"
"344","Everest College","CA","Proprietary",170695,"2010-11"
"345","Everest College","CA","Proprietary",202883,"2010-11"
"346","Everest College","CA","Proprietary",103555,"2010-11"
"347","Everest College","CA","Proprietary",337617,"2010-11"
"348","Everest College","CA","Proprietary",65125,"2010-11"
"349","Everest College","CA","Proprietary",362582,"2010-11"
"350","Everest College","CA","Proprietary",276013,"2010-11"
"351","Everest College","CA","Proprietary",310934,"2010-11"
"352","Everest College","CA","Proprietary",19619,"2010-11"
"353","Evergreen Valley College","CA","Public",822575,"2010-11"
"354","Ex'pression College for Digital Arts","CA","Proprietary",324127,"2010-11"
"355","Fashion Careers of California College","CA","Proprietary",35684,"2010-11"
"356","Fashion Institute of Design & Merchandising","CA","Proprietary",1580224,"2010-11"
"357","Feather River College","CA","Public",49167,"2010-11"
"358","Federico Beauty Institute","CA","Proprietary",29600,"2010-11"
"359","Five Branches University","CA","Private/Non-profit",77604,"2010-11"
"360","Foothill College","CA","Public",346146,"2010-11"
"361","Four-D College","CA","Proprietary",234420,"2010-11"
"362","Fredrick and Charles Beauty College","CA","Proprietary",7778,"2010-11"
"363","Fremont College","CA","Proprietary",50617,"2010-11"
"364","Fresno City College","CA","Public",1151273,"2010-11"
"365","Fresno Pacific University","CA","Private/Non-profit",425014,"2010-11"
"366","Fuller Theological Seminary","CA","Private/Non-profit",442917,"2010-11"
"367","Fullerton College","CA","Public",361807,"2010-11"
"368","Galen College of California","CA","Proprietary",80795,"2010-11"
"369","Gavilan College","CA","Public",114674,"2010-11"
"370","Gemological Institute of America","CA","Private/Non-profit",170930,"2010-11"
"371","Glendale Career College","CA","Proprietary",23529,"2010-11"
"372","Glendale Community College","CA","Public",839393,"2010-11"
"373","Gnomon School of Visual Effects","CA","Proprietary",0,"2010-11"
"374","Golden Gate University","CA","Private/Non-profit",883647,"2010-11"
"375","Graduate Theological Union","CA","Private/Non-profit",102771,"2010-11"
"376","Grossmont College","CA","Public",598078,"2010-11"
"377","Gurnick Academy of Medical Arts","CA","Proprietary",0,"2010-11"
"378","Hacienda La Puente Adult Education","CA","Public",0,"2010-11"
"379","Hair California Beauty Academy","CA","Proprietary",0,"2010-11"
"380","Hartnell Community College","CA","Public",291337,"2010-11"
"381","Harvey Mudd College","CA","Private/Non-profit",586916,"2010-11"
"382","Heald College","CA","Proprietary",2305904,"2010-11"
"383","Healthy Hair Academy","CA","Proprietary",0,"2010-11"
"384","Hilltop Beauty School","CA","Proprietary",12700,"2010-11"
"385","Hollywood Beauty College","CA","Proprietary",0,"2010-11"
"386","Holy Names University","CA","Private/Non-profit",194367,"2010-11"
"387","Homestead Schools","CA","Private/Non-profit",0,"2010-11"
"388","Hope International University","CA","Private/Non-profit",149909,"2010-11"
"389","Humboldt State University","CA","Public",1308673,"2010-11"
"390","Humphreys College","CA","Private/Non-profit",160499,"2010-11"
"391","Hypnosis Motivation Institute","CA","Private/Non-profit",16133,"2010-11"
"392","Imperial Valley College","CA","Public",903556,"2010-11"
"393","InfoTech Career College","CA","Proprietary",0,"2010-11"
"394","Institute for Business & Technology","CA","Proprietary",212489,"2010-11"
"395","Institute of Medical Education","CA","Private/Non-profit",0,"2010-11"
"396","Institute of Technology","CA","Proprietary",508442,"2010-11"
"397","Institute of Transpersonal Psychology","CA","Private/Non-profit",164427,"2010-11"
"398","InterCoast Colleges","CA","Proprietary",304714,"2010-11"
"399","International Career Development Center","CA","Proprietary",493626,"2010-11"
"400","International College of Cosmetology","CA","Proprietary",0,"2010-11"
"401","International Polytechnic Institute","CA","Private/Non-profit",0,"2010-11"
"402","International Professional School of Bodywork","CA","Proprietary",11221,"2010-11"
"403","International School of Cosmetology","CA","Proprietary",24471,"2010-11"
"404","Irvine Valley College","CA","Public",457255,"2010-11"
"405","James Albert School of Cosmetology","CA","Proprietary",22653,"2010-11"
"406","Je Boutique College of Beauty","CA","Proprietary",11081,"2010-11"
"407","John F. Kennedy University","CA","Private/Non-profit",51014,"2010-11"
"408","John Wesley International Barber & Beauty College","CA","Proprietary",11994,"2010-11"
"409","Kaplan College","CA","Proprietary",333470,"2010-11"
"410","Kaplan College","CA","Proprietary",228335,"2010-11"
"411","Kaplan College","CA","Proprietary",327265,"2010-11"
"412","Kaplan College","CA","Proprietary",381309,"2010-11"
"413","Kaplan College","CA","Proprietary",145676,"2010-11"
"414","Kaplan College","CA","Proprietary",66797,"2010-11"
"415","Kaplan College","CA","Proprietary",231099,"2010-11"
"416","King's University (The)","CA","Private/Non-profit",41483,"2010-11"
"417","L.A. Barber College","CA","Proprietary",0,"2010-11"
"418","LA College International","CA","Proprietary",67482,"2010-11"
"419","La Sierra University","CA","Private/Non-profit",1052610,"2010-11"
"420","Laguna College of Art and Design","CA","Private/Non-profit",52117,"2010-11"
"421","Lake Tahoe Community College","CA","Public",70355,"2010-11"
"422","Lancaster Beauty School","CA","Proprietary",6544,"2010-11"
"423","Laney College","CA","Public",858717,"2010-11"
"424","Las Positas College","CA","Public",174058,"2010-11"
"425","Lassen College","CA","Public",382978,"2010-11"
"426","Laurus College","CA","Proprietary",0,"2010-11"
"427","Le Cordon Bleu College of Culinary Arts","CA","Proprietary",792449,"2010-11"
"428","Life Chiropractic College West","CA","Private/Non-profit",143157,"2010-11"
"429","Life Pacific College","CA","Private/Non-profit",30157,"2010-11"
"430","Loma Linda University","CA","Private/Non-profit",2622100,"2010-11"
"431","Long Beach City College","CA","Public",1136681,"2010-11"
"432","Los Angeles City College","CA","Public",633472,"2010-11"
"433","Los Angeles County College of Nursing and Allied Health","CA","Public",39718,"2010-11"
"434","Los Angeles Film School (The)","CA","Proprietary",68348,"2010-11"
"435","Los Angeles Harbor College","CA","Public",327216,"2010-11"
"436","Los Angeles Mission College","CA","Public",241105,"2010-11"
"437","Los Angeles Music Academy","CA","Proprietary",14871,"2010-11"
"438","Los Angeles ORT Technical Institute","CA","Private/Non-profit",96362,"2010-11"
"439","Los Angeles Pierce College","CA","Public",503947,"2010-11"
"440","Los Angeles Recording School","CA","Proprietary",7547,"2010-11"
"441","Los Angeles Southwest College","CA","Public",401077,"2010-11"
"442","Los Angeles Trade-Technical College","CA","Public",829733,"2010-11"
"443","Los Angeles Valley College","CA","Public",476142,"2010-11"
"444","Los Medanos College","CA","Public",234556,"2010-11"
