"","School.Type","1011","1112","1213","1314","1415","1516"
"1","Private",0.279,0.2883,0.2928,0.3073,0.3126,0.315
"2","Proprietary",0.2288,0.2022,0.1917,0.1759,0.1648,0.115
"3","Public",0.4922,0.5095,0.5155,0.5167,0.5226,0.57
