"","School.Type","1011","1112","1213","1314","1415","1516"
"1","Private",0.3264,0.334,0.3385,0.3537,0.3606,0.3694
"2","Proprietary",0.2291,0.2031,0.1921,0.1771,0.1655,0.1062
"3","Public",0.4445,0.4629,0.4694,0.4692,0.4739,0.5244
