"","State","School.Type","Year","Sum.Type.campus"
"641","SC","Public","1314",21868458
"642","SD","Private","1011",3403899
"643","SD","Private","1112",2890155
"644","SD","Private","1213",3055083
"645","SD","Private","1314",3246015
"646","SD","Proprietary","1011",755624
"647","SD","Proprietary","1112",874587
"648","SD","Proprietary","1213",1210330
"649","SD","Proprietary","1314",1430884
"650","SD","Public","1011",9653613
"651","SD","Public","1112",9614645
"652","SD","Public","1213",9611948
"653","SD","Public","1314",10764404
"654","TN","Private","1011",25008412
"655","TN","Private","1112",27670820
"656","TN","Private","1213",28568316
"657","TN","Private","1314",28000300
"658","TN","Proprietary","1011",3030148
"659","TN","Proprietary","1112",2992784
"660","TN","Proprietary","1213",2142085
"661","TN","Proprietary","1314",1608890
"662","TN","Public","1011",23964607
"663","TN","Public","1112",23782883
"664","TN","Public","1213",24967050
"665","TN","Public","1314",24480859
"666","TX","Private","1011",33947826
"667","TX","Private","1112",38274560
"668","TX","Private","1213",39570663
"669","TX","Private","1314",40520173
"670","TX","Proprietary","1011",10318137
"671","TX","Proprietary","1112",8905538
"672","TX","Proprietary","1213",8342398
"673","TX","Proprietary","1314",7007640
"674","TX","Public","1011",82230375
"675","TX","Public","1112",87651352
"676","TX","Public","1213",87898695
"677","TX","Public","1314",87580624
"678","UT","Private","1011",1284438
"679","UT","Private","1112",1119898
"680","UT","Private","1213",1300182
"681","UT","Private","1314",1218420
"682","UT","Proprietary","1011",1987803
"683","UT","Proprietary","1112",1939751
"684","UT","Proprietary","1213",2020442
"685","UT","Proprietary","1314",1284807
"686","UT","Public","1011",17269097
"687","UT","Public","1112",16952881
"688","UT","Public","1213",18896345
"689","UT","Public","1314",19905228
"690","VA","Private","1011",22175217
"691","VA","Private","1112",22413971
"692","VA","Private","1213",24403068
"693","VA","Private","1314",24951050
"694","VA","Proprietary","1011",5776813
"695","VA","Proprietary","1112",5932493
"696","VA","Proprietary","1213",4964790
"697","VA","Proprietary","1314",3568715
"698","VA","Public","1011",31081210
"699","VA","Public","1112",33140063
"700","VA","Public","1213",32512757
"701","VA","Public","1314",33374515
"702","VT","Private","1011",12722986
"703","VT","Private","1112",11573116
"704","VT","Private","1213",11550188
"705","VT","Private","1314",11963952
"706","VT","Proprietary","1011",139260
"707","VT","Proprietary","1112",147272
"708","VT","Proprietary","1213",116234
"709","VT","Proprietary","1314",75210
"710","VT","Public","1011",8575986
"711","VT","Public","1112",9069858
"712","VT","Public","1213",9222783
"713","VT","Public","1314",9463310
"714","WA","Private","1011",21893413
"715","WA","Private","1112",21980443
"716","WA","Private","1213",22976946
"717","WA","Private","1314",24378877
"718","WA","Proprietary","1011",1346554
"719","WA","Proprietary","1112",1356602
"720","WA","Proprietary","1213",1748653
"721","WA","Proprietary","1314",1292954
"722","WA","Public","1011",33297281
"723","WA","Public","1112",33386677
"724","WA","Public","1213",35340933
"725","WA","Public","1314",38866125
"726","WI","Private","1011",22984322
