"","School","Enrollment","Year"
"124","Howell Cheney Technical High School",53,"2011-12"
"125","Industrial Management Training Institute",181,"2011-12"
"126","International Institute of Cosmetology",153,"2011-12"
"127","Lincoln College of New England-Southington",971,"2011-12"
"128","Lincoln Technical Institute-East Windsor",905,"2011-12"
"129","Lincoln Technical Institute-Hartford",402,"2011-12"
"130","Lincoln Technical Institute-New Britain",649,"2011-12"
"131","Lincoln Technical Institute-Shelton",657,"2011-12"
"132","Lyme Academy College of Fine Arts",65,"2011-12"
"133","Manchester Community College",4607,"2011-12"
"134","Marinello Schools of Beauty-East Hartford",201,"2011-12"
"135","Marinello Schools of Beauty-Meriden",567,"2011-12"
"136","Marinello Schools of Beauty-Niantic",360,"2011-12"
"137","Middlesex Community College",1778,"2011-12"
"138","Mitchell College",857,"2011-12"
"139","Naugatuck Valley Community College",4506,"2011-12"
"140","New England Tractor Trailer Training School of Connecticut",546,"2011-12"
"141","New England Tractor Trailer Training School of CT-Bridgeport",NA,"2011-12"
"142","Northwestern Connecticut Community College",872,"2011-12"
"143","Norwalk Community College",4069,"2011-12"
"144","Norwich Technical High School",41,"2011-12"
"145","Oxford Academy of Hair Design Inc",106,"2011-12"
"146","Paier College of Art Inc",186,"2011-12"
"147","Paul Mitchell the School-Danbury",127,"2011-12"
"148","Paul Mitchell the School-North Haven",227,"2011-12"
"149","Platt Technical High School",14,"2011-12"
"150","Porter and Chester Institute of Branford",337,"2011-12"
"151","Porter and Chester Institute of Stratford",2822,"2011-12"
"152","Post University",6586,"2011-12"
"153","Quinebaug Valley Community College",1182,"2011-12"
"154","Quinnipiac University",8249,"2011-12"
"155","Rensselaer Hartford Graduate Center Inc",222,"2011-12"
"156","Ricci's Academy of Cosmetology",NA,"2011-12"
"157","Ridley-Lowell Business & Technical Institute-Danbury",320,"2011-12"
"158","Ridley-Lowell Business & Technical Institute-New London",594,"2011-12"
"159","Sacred Heart University",5865,"2011-12"
"160","Southern Connecticut State University",9285,"2011-12"
"161","St Vincent's College",491,"2011-12"
"162","Stone Academy-East Hartford",264,"2011-12"
"163","Stone Academy-Hamden",569,"2011-12"
"164","Stone Academy-Waterbury",295,"2011-12"
"165","Three Rivers Community College",3009,"2011-12"
"166","Trinity College",2373,"2011-12"
"167","Tunxis Community College",2843,"2011-12"
"168","University of Bridgeport",3857,"2011-12"
"169","University of Connecticut",23907,"2011-12"
"170","University of Connecticut-Avery Point",650,"2011-12"
"171","University of Connecticut-Stamford",1048,"2011-12"
"172","University of Connecticut-Tri-Campus",2166,"2011-12"
"173","University of Hartford",6318,"2011-12"
"174","University of New Haven",5669,"2011-12"
"175","University of Phoenix-Connecticut",32,"2011-12"
"176","University of Saint Joseph",1930,"2011-12"
"177","Vinal Technical High School",40,"2011-12"
"178","W F Kaynor Technical High School",53,"2011-12"
"179","Wesleyan University",3281,"2011-12"
"180","Western Connecticut State University",5671,"2011-12"
"181","Windham Memorial Hospital-Radiologic Technology Program",20,"2011-12"
"182","Windham Technical High School",18,"2011-12"
"183","Yale University",13697,"2011-12"
"184","Yale-New Haven Hospital Dietetic Internship",12,"2011-12"
"185","Academy Di Capelli-School of Cosmetology",77,"2012-13"
"186","Ace Cosmetology and Barber Training Center",9,"2012-13"
"187","Albert I Prince Technical High School",63,"2012-13"
"188","Albertus Magnus College",1813,"2012-13"
"189","Asnuntuck Community College",1048,"2012-13"
"190","Belle Academy of Cosmetology",2,"2012-13"
"191","Branford Academy of Hair and Cosmetology",92,"2012-13"
"192","Branford Hall Career Institute-Branford Campus",901,"2012-13"
"193","Branford Hall Career Institute-Southington Campus",949,"2012-13"
"194","Branford Hall Career Institute-Windsor Campus",714,"2012-13"
"195","Bridgeport Hospital School of Nursing",141,"2012-13"
"196","Bristol Technical Education Center",51,"2012-13"
"197","Bullard-Havens Technical High School",14,"2012-13"
"198","Capital Community College",2609,"2012-13"
"199","Central Connecticut State University",9989,"2012-13"
"200","Charter Oak State College",917,"2012-13"
"201","Connecticut Center for Massage Therapy-Groton",86,"2012-13"
"202","Connecticut Center for Massage Therapy-Newington",241,"2012-13"
"203","Connecticut Center for Massage Therapy-Westport",257,"2012-13"
"204","Connecticut College",2068,"2012-13"
"205","Connecticut Institute of Hair Design",47,"2012-13"
"206","Eastern Connecticut State University",4985,"2012-13"
"207","Eli Whitney Technical High School",53,"2012-13"
"208","European Academy of Cosmetology and Hairdressing",36,"2012-13"
"209","Fairfield University",4694,"2012-13"
"210","Fox Institute of Business-West Hartford",307,"2012-13"
"211","Gateway Community College",4672,"2012-13"
"212","Goodwin College",3017,"2012-13"
"213","Hartford Seminary",73,"2012-13"
"214","Holy Apostles College and Seminary",333,"2012-13"
"215","Housatonic Community College",3677,"2012-13"
"216","Howell Cheney Technical High School",66,"2012-13"
"217","Industrial Management Training Institute",125,"2012-13"
"218","International Institute of Cosmetology",132,"2012-13"
"219","Lincoln College of New England-Southington",815,"2012-13"
"220","Lincoln Technical Institute-East Windsor",893,"2012-13"
"221","Lincoln Technical Institute-Hartford",436,"2012-13"
"222","Lincoln Technical Institute-New Britain",534,"2012-13"
"223","Lincoln Technical Institute-Shelton",617,"2012-13"
"224","Lyme Academy College of Fine Arts",64,"2012-13"
"225","Manchester Community College",4667,"2012-13"
"226","Marinello Schools of Beauty-East Hartford",177,"2012-13"
"227","Marinello Schools of Beauty-Meriden",616,"2012-13"
"228","Marinello Schools of Beauty-Niantic",344,"2012-13"
"229","Middlesex Community College",1813,"2012-13"
"230","Mitchell College",813,"2012-13"
"231","Naugatuck Valley Community College",4491,"2012-13"
"232","New England Tractor Trailer Training School of Connecticut",337,"2012-13"
"233","New England Tractor Trailer Training School of CT-Bridgeport",365,"2012-13"
"234","Northwestern Connecticut Community College",837,"2012-13"
"235","Norwalk Community College",4085,"2012-13"
"236","Norwich Technical High School",50,"2012-13"
"237","Oxford Academy of Hair Design Inc",119,"2012-13"
"238","Paier College of Art Inc",159,"2012-13"
"239","Paul Mitchell the School-Danbury",135,"2012-13"
"240","Paul Mitchell the School-North Haven",166,"2012-13"
"241","Platt Technical High School",18,"2012-13"
"242","Porter and Chester Institute of Branford",326,"2012-13"
"243","Porter and Chester Institute of Stratford",2822,"2012-13"
"244","Post University",5808,"2012-13"
"245","Quinebaug Valley Community College",1178,"2012-13"
"246","Quinnipiac University",8553,"2012-13"
"247","Rensselaer Hartford Graduate Center Inc",140,"2012-13"
"248","Ricci's Academy of Cosmetology",NA,"2012-13"
"249","Ridley-Lowell Business & Technical Institute-Danbury",317,"2012-13"
"250","Ridley-Lowell Business & Technical Institute-New London",280,"2012-13"
"251","Sacred Heart University",5945,"2012-13"
"252","Southern Connecticut State University",8708,"2012-13"
"253","St Vincent's College",530,"2012-13"
"254","Stone Academy-East Hartford",283,"2012-13"
"255","Stone Academy-Hamden",404,"2012-13"
"256","Stone Academy-Waterbury",224,"2012-13"
"257","Three Rivers Community College",2897,"2012-13"
"258","Trinity College",2356,"2012-13"
