School
Academy Di Capelli-School of Cosmetology
Ace Cosmetology and Barber Training Center
Albert I Prince Technical High School
Albertus Magnus College
Asnuntuck Community College
Belle Academy of Cosmetology
Branford Academy of Hair and Cosmetology
Branford Hall Career Institute
Branford Hall Career Institute
Branford Hall Career Institute
Bridgeport Hospital School of Nursing
Bristol Technical Education Center
Bullard-Havens Technical High School
Capital Community College
Central Connecticut State University
Charter Oak State College
Connecticut Center for Massage Therapy
Connecticut Center for Massage Therapy
Connecticut Center for Massage Therapy
Connecticut College
Connecticut Institute of Hair Design
Eastern Connecticut State University
Eli Whitney Technical High School
European Academy of Cosmetology and Hairdressing
Fairfield University
Fox Institute of Business-West Hartford
Gateway Community College
Goodwin College
Hartford Seminary
Holy Apostles College and Seminary
Housatonic Community College
Howell Cheney Technical High School
Industrial Management Training Institute
International Institute of Cosmetology
Lincoln College of New England-Southington
Lincoln Technical Institute
Lincoln Technical Institute
Lincoln Technical Institute
Lincoln Technical Institute
Lyme Academy College of Fine Arts
Manchester Community College
Marinello Schools of Beauty
Marinello Schools of Beauty
Marinello Schools of Beauty
Middlesex Community College
Mitchell College
Naugatuck Valley Community College
New England Tractor Trailer Training School of Connecticut
New England Tractor Trailer Training School of Connecticut
Northwestern Connecticut Community College
Norwalk Community College
Norwich Technical High School
Oxford Academy of Hair Design Inc
Paier College of Art Inc
Paul Mitchell the School
Paul Mitchell the School
Platt Technical High School
Porter and Chester Institute
Porter and Chester Institute
Post University
Quinebaug Valley Community College
Quinnipiac University
Rensselaer Hartford Graduate Center Inc
Ricci's Academy of Cosmetology
Ridley-Lowell Business & Technical Institute
Ridley-Lowell Business & Technical Institute
Sacred Heart University
Southern Connecticut State University
St Vincent's College
Stone Academy
Stone Academy
Stone Academy
Three Rivers Community College
Trinity College
Tunxis Community College
University of Bridgeport
University of Connecticut
University of Connecticut
University of Connecticut
University of Connecticut
University of Hartford
University of New Haven
University of Phoenix-Connecticut
University of Saint Joseph
Vinal Technical High School
W F Kaynor Technical High School
Wesleyan University
Western Connecticut State University
Windham Memorial Hospital-Radiologic Technology Program
Windham Technical High School
Yale University
Yale-New Haven Hospital Dietetic Internship
Academy Di Capelli-School of Cosmetology
Ace Cosmetology and Barber Training Center
Albert I Prince Technical High School
Albertus Magnus College
Asnuntuck Community College
Belle Academy of Cosmetology
Branford Academy of Hair and Cosmetology
Branford Hall Career Institute
Branford Hall Career Institute
Branford Hall Career Institute
Bridgeport Hospital School of Nursing
Bristol Technical Education Center
Bullard-Havens Technical High School
Capital Community College
Central Connecticut State University
Charter Oak State College
Connecticut Center for Massage Therapy
Connecticut Center for Massage Therapy
Connecticut Center for Massage Therapy
Connecticut College
Connecticut Institute of Hair Design
Eastern Connecticut State University
Eli Whitney Technical High School
European Academy of Cosmetology and Hairdressing
Fairfield University
Fox Institute of Business-West Hartford
Gateway Community College
Goodwin College
Hartford Seminary
Holy Apostles College and Seminary
Housatonic Community College
Howell Cheney Technical High School
Industrial Management Training Institute
International Institute of Cosmetology
Lincoln College of New England-Southington
Lincoln Technical Institute
Lincoln Technical Institute
Lincoln Technical Institute
Lincoln Technical Institute
Lyme Academy College of Fine Arts
